Orthogroup	Dalotia_update.aa	Alustrica.aa
OG0000002	Dcor_evm.model.hic_scaffold_6_pilon.90, Dcor_evm.model.hic_scaffold_7_pilon.688, Dcor_evm.model.hic_scaffold_7_pilon.687, Dcor_evm.model.hic_scaffold_15_pilon.67, Dcor_evm.model.hic_scaffold_7_pilon.685	Alus_evm.model.scaffold06111.3, Alus_evm.model.scaffold04236.1, Alus_evm.model.scaffold01873.1, Alus_evm.model.scaffold10065.7, Alus_evm.model.scaffold10065.3, Alus_evm.model.scaffold10065.6, Alus_evm.model.scaffold10065.2, Alus_evm.model.scaffold06111.2, Alus_evm.model.scaffold10065.5, Alus_evm.model.scaffold12201.1
OG0000002	Dcor_evm.model.hic_scaffold_5_pilon.111	Alus_evm.model.scaffold02020.1
OG0000002	Dcor_evm.model.hic_scaffold_5_pilon.115	Alus_evm.model.scaffold10716.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1290, Dcor_evm.model.hic_scaffold_7_pilon.1289, Dcor_evm.model.hic_scaffold_7_pilon.1291, Dcor_evm.model.hic_scaffold_7_pilon.1287, Dcor_evm.model.hic_scaffold_7_pilon.1285, Dcor_evm.model.hic_scaffold_7_pilon.1286	Alus_evm.model.scaffold09037.7, Alus_evm.model.scaffold09037.9, Alus_evm.model.scaffold17287.1, Alus_evm.model.scaffold17287.4, Alus_evm.model.scaffold09037.8, Alus_evm.model.scaffold16515.2, Alus_evm.model.scaffold09037.4, Alus_evm.model.scaffold09037.5
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1580	Alus_evm.model.scaffold13668.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1578	Alus_evm.model.scaffold06394.3
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1294	Alus_evm.model.scaffold00649.2
OG0000003	Dcor_evm.model.hic_scaffold_1_pilon.1082, Dcor_evm.model.hic_scaffold_8_pilon.382	Alus_evm.model.scaffold05689.3, Alus_evm.model.scaffold00555.2, Alus_evm.model.scaffold07999.3, Alus_evm.model.scaffold10633.7, Alus_evm.model.scaffold09420.1, Alus_evm.model.scaffold18283.2
OG0000003	Dcor_evm.model.hic_scaffold_1_pilon.1110, Dcor_evm.model.hic_scaffold_1_pilon.1019	Alus_evm.model.scaffold07719.2
OG0000003	Dcor_evm.model.scaffold4622_size1188.1	Alus_evm.model.scaffold16499.1
OG0000004	Dcor_evm.model.hic_scaffold_6_pilon.1662, Dcor_evm.model.hic_scaffold_6_pilon.1664	Alus_evm.model.scaffold00584.4
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.1313	Alus_evm.model.scaffold09697.7
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.1404, Dcor_evm.model.hic_scaffold_7_pilon.1405	Alus_evm.model.scaffold09697.4
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.614	Alus_evm.model.scaffold08959.1
OG0000004	Dcor_evm.model.hic_scaffold_16_pilon.50, Dcor_evm.model.hic_scaffold_6_pilon.777, Dcor_evm.model.hic_scaffold_16_pilon.83, Dcor_evm.model.hic_scaffold_6_pilon.749	Alus_evm.model.scaffold06343.6
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.619, Dcor_evm.model.hic_scaffold_7_pilon.618	Alus_evm.model.scaffold06808.3
OG0000005	Dcor_evm.model.hic_scaffold_4_pilon.1003	Alus_evm.model.scaffold18142.1
OG0000005	Dcor_evm.model.hic_scaffold_7_pilon.485	Alus_evm.model.scaffold18196.6, Alus_evm.model.scaffold04804.9
OG0000005	Dcor_evm.model.scaffold6586_size1037.1	Alus_evm.model.scaffold17389.1
OG0000005	Dcor_evm.model.hic_scaffold_63_pilon.6	Alus_evm.model.scaffold12539.8
OG0000005	Dcor_evm.model.hic_scaffold_63_pilon.7	Alus_evm.model.scaffold10420.3, Alus_evm.model.scaffold15218.1
OG0000005	Dcor_evm.model.WTDall_ctg4617.4	Alus_evm.model.scaffold12539.7
OG0000005	Dcor_evm.model.WTDcor_ctg274.1	Alus_evm.model.scaffold01849.2, Alus_evm.model.scaffold04958.1, Alus_evm.model.scaffold17237.1, Alus_evm.model.scaffold01849.1, Alus_evm.model.scaffold18277.1
OG0000005	Dcor_evm.model.hic_scaffold_4_pilon.623, Dcor_evm.model.hic_scaffold_3_pilon.600, Dcor_evm.model.hic_scaffold_4_pilon.624	Alus_evm.model.scaffold06189.4
OG0000005	Dcor_evm.model.hic_scaffold_1_pilon.1102	Alus_evm.model.scaffold12317.2
OG0000006	Dcor_evm.model.hic_scaffold_1_pilon.924	Alus_evm.model.scaffold11819.13, Alus_evm.model.scaffold02561.1
OG0000006	Dcor_evm.model.hic_scaffold_4_pilon.706	Alus_evm.model.scaffold05905.7
OG0000006	Dcor_evm.model.hic_scaffold_9_pilon.128	Alus_evm.model.scaffold06019.2, Alus_evm.model.scaffold07979.2, Alus_evm.model.scaffold16398.1, Alus_evm.model.scaffold14141.1, Alus_evm.model.scaffold10660.1, Alus_evm.model.scaffold10660.2
OG0000006	Dcor_evm.model.hic_scaffold_9_pilon.824, Dcor_evm.model.hic_scaffold_9_pilon.823	Alus_evm.model.scaffold05905.6
OG0000006	Dcor_evm.model.hic_scaffold_1_pilon.692	Alus_evm.model.scaffold04705.1
OG0000007	Dcor_evm.model.hic_scaffold_45_pilon.6	Alus_evm.model.scaffold03816.1, Alus_evm.model.scaffold08563.1
OG0000007	Dcor_evm.model.hic_scaffold_23_pilon.14, Dcor_evm.model.hic_scaffold_3_pilon.1439, Dcor_evm.model.hic_scaffold_67_pilon.8, Dcor_evm.model.hic_scaffold_6_pilon.77	Alus_evm.model.scaffold15887.5
OG0000007	Dcor_evm.model.hic_scaffold_31_pilon.11, Dcor_evm.model.scaffold2505_size1420.1, Dcor_evm.model.hic_scaffold_68_pilon.45, Dcor_evm.model.hic_scaffold_68_pilon.30, Dcor_evm.model.hic_scaffold_68_pilon.29, Dcor_evm.model.hic_scaffold_44_pilon.4, Dcor_evm.model.hic_scaffold_18_pilon.15, Dcor_evm.model.hic_scaffold_45_pilon.22, Dcor_evm.model.hic_scaffold_4_pilon.1289, Dcor_evm.model.hic_scaffold_31_pilon.14, Dcor_evm.model.hic_scaffold_68_pilon.24	Alus_evm.model.scaffold18464.2, Alus_evm.model.scaffold03808.2, Alus_evm.model.scaffold17961.1, Alus_evm.model.scaffold07054.1
OG0000008	Dcor_evm.model.hic_scaffold_5_pilon.445	Alus_evm.model.scaffold13891.1
OG0000008	Dcor_evm.model.hic_scaffold_1_pilon.659, Dcor_evm.model.hic_scaffold_3_pilon.380	Alus_evm.model.scaffold08275.4
OG0000008	Dcor_evm.model.hic_scaffold_9_pilon.73	Alus_evm.model.scaffold15117.1
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.292	Alus_evm.model.scaffold00085.1
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.295, Dcor_evm.model.hic_scaffold_10_pilon.306	Alus_evm.model.scaffold16193.1
OG0000008	Dcor_evm.model.hic_scaffold_9_pilon.735, Dcor_evm.model.hic_scaffold_9_pilon.736	Alus_evm.model.scaffold02246.1
OG0000009	Dcor_evm.model.hic_scaffold_1_pilon.861	Alus_evm.model.scaffold00980.10
OG0000009	Dcor_evm.model.hic_scaffold_1_pilon.860	Alus_evm.model.scaffold00980.9
OG0000009	Dcor_evm.model.scaffold1327_size1786.1	Alus_evm.model.scaffold07209.10
OG0000009	Dcor_evm.model.hic_scaffold_5_pilon.339	Alus_evm.model.scaffold13660.4
OG0000009	Dcor_evm.model.scaffold2479_size1422.1	Alus_evm.model.scaffold13660.7
OG0000009	Dcor_evm.model.hic_scaffold_2_pilon.335	Alus_evm.model.scaffold10005.7
OG0000009	Dcor_evm.model.hic_scaffold_6_pilon.1418	Alus_evm.model.scaffold05831.1, Alus_evm.model.scaffold02244.4, Alus_evm.model.scaffold02244.3
OG0000009	Dcor_evm.model.hic_scaffold_10_pilon.238, Dcor_evm.model.hic_scaffold_9_pilon.142	Alus_evm.model.scaffold10490.1
OG0000009	Dcor_evm.model.hic_scaffold_6_pilon.1778	Alus_evm.model.scaffold18456.5
OG0000009	Dcor_evm.model.scaffold1853_size1519.1, Dcor_evm.model.scaffold6608_size1035.1	Alus_evm.model.scaffold07209.12
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.135	Alus_evm.model.scaffold15871.5
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.76	Alus_evm.model.scaffold03498.3
OG0000010	Dcor_evm.model.hic_scaffold_13_pilon.44, Dcor_evm.model.hic_scaffold_9_pilon.620, Dcor_evm.model.hic_scaffold_14_pilon.61, Dcor_evm.model.hic_scaffold_9_pilon.431	Alus_evm.model.scaffold14050.7
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.569	Alus_evm.model.scaffold17428.1
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.571	Alus_evm.model.scaffold17428.4
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.136	Alus_evm.model.scaffold15871.3
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.570	Alus_evm.model.scaffold17428.2
OG0000011	Dcor_evm.model.hic_scaffold_23_pilon.1	Alus_evm.model.scaffold16629.1, Alus_evm.model.scaffold08487.1
OG0000013	Dcor_evm.model.hic_scaffold_4_pilon.329	Alus_evm.model.scaffold08648.1
OG0000013	Dcor_evm.model.hic_scaffold_62_pilon.16, Dcor_evm.model.contig_135_pilon.1	Alus_evm.model.scaffold05416.3, Alus_evm.model.scaffold18375.2
OG0000013	Dcor_evm.model.hic_scaffold_4_pilon.1296	Alus_evm.model.scaffold03145.4, Alus_evm.model.scaffold02693.3, Alus_evm.model.scaffold01544.2, Alus_evm.model.scaffold09509.2, Alus_evm.model.scaffold18536.2, Alus_evm.model.scaffold05997.1, Alus_evm.model.scaffold09905.2
OG0000014	Dcor_evm.model.WTDall_ctg5529.1	Alus_evm.model.scaffold01095.1
OG0000014	Dcor_evm.model.hic_scaffold_44_pilon.8	Alus_evm.model.scaffold06253.1, Alus_evm.model.scaffold11757.1
OG0000014	Dcor_evm.model.hic_scaffold_10_pilon.531, Dcor_evm.model.hic_scaffold_3_pilon.903	Alus_evm.model.scaffold02147.1, Alus_evm.model.scaffold03691.1
OG0000014	Dcor_evm.model.hic_scaffold_1_pilon.452, Dcor_evm.model.hic_scaffold_36_pilon.4, Dcor_evm.model.hic_scaffold_5_pilon.633, Dcor_evm.model.hic_scaffold_2_pilon.336	Alus_evm.model.scaffold17952.1, Alus_evm.model.scaffold02525.1, Alus_evm.model.scaffold11280.1
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.176	Alus_evm.model.scaffold16718.6
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.26	Alus_evm.model.scaffold02278.11
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.555	Alus_evm.model.scaffold05820.3
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.498	Alus_evm.model.scaffold06337.5
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.467	Alus_evm.model.scaffold07512.1, Alus_evm.model.scaffold08448.1, Alus_evm.model.scaffold00176.1, Alus_evm.model.scaffold15273.2, Alus_evm.model.scaffold07512.2
OG0000015	Dcor_evm.model.hic_scaffold_5_pilon.774	Alus_evm.model.scaffold01010.6, Alus_evm.model.scaffold01010.7
OG0000015	Dcor_evm.model.hic_scaffold_25_pilon.34	Alus_evm.model.scaffold18537.7, Alus_evm.model.scaffold18537.6
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.25	Alus_evm.model.scaffold02278.10
OG0000016	Dcor_evm.model.hic_scaffold_30_pilon.9	Alus_evm.model.scaffold12446.1
OG0000016	Dcor_evm.model.hic_scaffold_30_pilon.10	Alus_evm.model.scaffold18138.1, Alus_evm.model.scaffold07509.3
OG0000016	Dcor_evm.model.hic_scaffold_30_pilon.11	Alus_evm.model.scaffold01735.6, Alus_evm.model.scaffold01735.7, Alus_evm.model.scaffold14354.2, Alus_evm.model.scaffold05423.1, Alus_evm.model.scaffold16031.4
OG0000017	Dcor_evm.model.hic_scaffold_5_pilon.953	Alus_evm.model.scaffold00184.4
OG0000017	Dcor_evm.model.hic_scaffold_10_pilon.450	Alus_evm.model.scaffold00470.4
OG0000017	Dcor_evm.model.scaffold6005_size1075.1, Dcor_evm.model.hic_scaffold_10_pilon.1116, Dcor_evm.model.hic_scaffold_10_pilon.1115	Alus_evm.model.scaffold00470.2, Alus_evm.model.scaffold07561.2
OG0000017	Dcor_evm.model.hic_scaffold_10_pilon.449	Alus_evm.model.scaffold00470.3
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.592	Alus_evm.model.scaffold17135.4
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.596	Alus_evm.model.scaffold10131.2
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.149	Alus_evm.model.scaffold16267.4
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.590	Alus_evm.model.scaffold17135.1
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.597	Alus_evm.model.scaffold16859.14
OG0000018	Dcor_evm.model.hic_scaffold_4_pilon.537	Alus_evm.model.scaffold03599.1
OG0000018	Dcor_evm.model.hic_scaffold_2_pilon.517	Alus_evm.model.scaffold08988.3
OG0000018	Dcor_evm.model.hic_scaffold_5_pilon.1134	Alus_evm.model.scaffold00684.2
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.896, Dcor_evm.model.hic_scaffold_10_pilon.899	Alus_evm.model.scaffold17108.11
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.901	Alus_evm.model.scaffold17108.14
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.894	Alus_evm.model.scaffold17108.10
OG0000019	Dcor_evm.model.hic_scaffold_5_pilon.568	Alus_evm.model.scaffold10714.1
OG0000019	Dcor_evm.model.hic_scaffold_5_pilon.385, Dcor_evm.model.hic_scaffold_8_pilon.101	Alus_evm.model.scaffold00977.1
OG0000019	Dcor_evm.model.hic_scaffold_4_pilon.636	Alus_evm.model.scaffold10384.1
OG0000019	Dcor_evm.model.hic_scaffold_3_pilon.1274, Dcor_evm.model.hic_scaffold_3_pilon.1275, Dcor_evm.model.hic_scaffold_9_pilon.1192	Alus_evm.model.scaffold02485.2
OG0000022	Dcor_evm.model.hic_scaffold_23_pilon.31, Dcor_evm.model.hic_scaffold_67_pilon.6, Dcor_evm.model.hic_scaffold_23_pilon.13, Dcor_evm.model.hic_scaffold_4_pilon.582, Dcor_evm.model.hic_scaffold_46_pilon.13, Dcor_evm.model.hic_scaffold_28_pilon.5, Dcor_evm.model.hic_scaffold_3_pilon.1111, Dcor_evm.model.hic_scaffold_6_pilon.76, Dcor_evm.model.hic_scaffold_67_pilon.7, Dcor_evm.model.contig_161_pilon.3, Dcor_evm.model.hic_scaffold_14_pilon.101, Dcor_evm.model.hic_scaffold_3_pilon.913	Alus_evm.model.scaffold03516.1
OG0000022	Dcor_evm.model.hic_scaffold_3_pilon.912, Dcor_evm.model.hic_scaffold_67_pilon.10	Alus_evm.model.scaffold00289.2, Alus_evm.model.scaffold15887.4, Alus_evm.model.scaffold17751.1
OG0000022	Dcor_evm.model.hic_scaffold_31_pilon.13, Dcor_evm.model.hic_scaffold_31_pilon.10, Dcor_evm.model.hic_scaffold_21_pilon.15, Dcor_evm.model.hic_scaffold_45_pilon.20	Alus_evm.model.scaffold03808.1
OG0000022	Dcor_evm.model.hic_scaffold_5_pilon.436	Alus_evm.model.scaffold15816.1, Alus_evm.model.scaffold09541.1, Alus_evm.model.scaffold15744.1, Alus_evm.model.scaffold10457.1, Alus_evm.model.scaffold16802.1, Alus_evm.model.scaffold12930.1, Alus_evm.model.scaffold13140.1
OG0000023	Dcor_evm.model.hic_scaffold_9_pilon.1810	Alus_evm.model.scaffold15334.9
OG0000023	Dcor_evm.model.hic_scaffold_4_pilon.157	Alus_evm.model.scaffold15016.9
OG0000023	Dcor_evm.model.hic_scaffold_5_pilon.1483, Dcor_evm.model.hic_scaffold_4_pilon.1097, Dcor_evm.model.hic_scaffold_5_pilon.1482	Alus_evm.model.scaffold15016.14
OG0000023	Dcor_evm.model.hic_scaffold_4_pilon.1096, Dcor_evm.model.hic_scaffold_5_pilon.1484	Alus_evm.model.scaffold15016.15
OG0000023	Dcor_evm.model.hic_scaffold_10_pilon.1414	Alus_evm.model.scaffold12252.6
OG0000023	Dcor_evm.model.contig_84_pilon.1, Dcor_evm.model.hic_scaffold_10_pilon.1054	Alus_evm.model.scaffold04174.1, Alus_evm.model.scaffold07807.3, Alus_evm.model.scaffold07807.2
OG0000025	Dcor_evm.model.hic_scaffold_2_pilon.19	Alus_evm.model.scaffold00767.1
OG0000025	Dcor_evm.model.hic_scaffold_23_pilon.25, Dcor_evm.model.hic_scaffold_62_pilon.14	Alus_evm.model.scaffold02618.1
OG0000025	Dcor_evm.model.hic_scaffold_21_pilon.35, Dcor_evm.model.hic_scaffold_51_pilon.4	Alus_evm.model.scaffold07719.25
OG0000025	Dcor_evm.model.hic_scaffold_5_pilon.304	Alus_evm.model.scaffold12618.1
OG0000026	Dcor_evm.model.hic_scaffold_4_pilon.458, Dcor_evm.model.hic_scaffold_4_pilon.457	Alus_evm.model.scaffold07046.18, Alus_evm.model.scaffold07046.21, Alus_evm.model.scaffold07046.19, Alus_evm.model.scaffold07046.20
OG0000026	Dcor_evm.model.hic_scaffold_4_pilon.422	Alus_evm.model.scaffold07046.16, Alus_evm.model.scaffold07046.17
OG0000026	Dcor_evm.model.hic_scaffold_4_pilon.456	Alus_evm.model.scaffold07046.22
OG0000026	Dcor_evm.model.hic_scaffold_1_pilon.267	Alus_evm.model.scaffold04539.1
OG0000026	Dcor_evm.model.hic_scaffold_3_pilon.1005	Alus_evm.model.scaffold08181.5
OG0000029	Dcor_evm.model.hic_scaffold_7_pilon.1415	Alus_evm.model.scaffold17727.1
OG0000029	Dcor_evm.model.hic_scaffold_7_pilon.82	Alus_evm.model.scaffold07869.5
OG0000029	Dcor_evm.model.hic_scaffold_13_pilon.55, Dcor_evm.model.hic_scaffold_13_pilon.54	Alus_evm.model.scaffold05963.1
OG0000029	Dcor_evm.model.hic_scaffold_7_pilon.1430	Alus_evm.model.scaffold15440.10
OG0000029	Dcor_evm.model.hic_scaffold_7_pilon.83, Dcor_evm.model.hic_scaffold_7_pilon.84	Alus_evm.model.scaffold07869.4
OG0000029	Dcor_evm.model.hic_scaffold_7_pilon.231	Alus_evm.model.scaffold11368.4
OG0000029	Dcor_evm.model.hic_scaffold_4_pilon.930	Alus_evm.model.scaffold05772.9
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.20	Alus_evm.model.scaffold13535.3
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.544	Alus_evm.model.scaffold05469.6
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.18	Alus_evm.model.scaffold16924.4
OG0000030	Dcor_evm.model.hic_scaffold_9_pilon.1470	Alus_evm.model.scaffold01804.4
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.16	Alus_evm.model.scaffold16924.3
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.534	Alus_evm.model.scaffold17511.18, Alus_evm.model.scaffold17511.17
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.26	Alus_evm.model.scaffold05403.7
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.25	Alus_evm.model.scaffold10995.2
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.13	Alus_evm.model.scaffold16924.1
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.15	Alus_evm.model.scaffold16924.2
OG0000031	Dcor_evm.model.hic_scaffold_10_pilon.466	Alus_evm.model.scaffold02725.15
OG0000031	Dcor_evm.model.hic_scaffold_8_pilon.41	Alus_evm.model.scaffold12330.3
OG0000031	Dcor_evm.model.scaffold5253_size1137.1	Alus_evm.model.scaffold02725.14
OG0000031	Dcor_evm.model.hic_scaffold_10_pilon.418, Dcor_evm.model.hic_scaffold_2_pilon.27, Dcor_evm.model.hic_scaffold_10_pilon.419, Dcor_evm.model.hic_scaffold_10_pilon.470, Dcor_evm.model.hic_scaffold_10_pilon.471, Dcor_evm.model.hic_scaffold_10_pilon.469, Dcor_evm.model.hic_scaffold_10_pilon.467, Dcor_evm.model.hic_scaffold_10_pilon.468	Alus_evm.model.scaffold02725.12, Alus_evm.model.scaffold02725.8, Alus_evm.model.scaffold02725.3, Alus_evm.model.scaffold02725.4, Alus_evm.model.scaffold02725.7, Alus_evm.model.scaffold02725.5, Alus_evm.model.scaffold02725.9, Alus_evm.model.scaffold02725.10, Alus_evm.model.scaffold02725.11, Alus_evm.model.scaffold02333.1, Alus_evm.model.scaffold11396.1
OG0000031	Dcor_evm.model.hic_scaffold_15_pilon.68, Dcor_evm.model.hic_scaffold_7_pilon.684	Alus_evm.model.scaffold10065.4
OG0000032	Dcor_evm.model.hic_scaffold_9_pilon.1752, Dcor_evm.model.hic_scaffold_9_pilon.1749, Dcor_evm.model.hic_scaffold_9_pilon.1751	Alus_evm.model.scaffold02504.5
OG0000032	Dcor_evm.model.hic_scaffold_9_pilon.1757	Alus_evm.model.scaffold15638.1
OG0000032	Dcor_evm.model.hic_scaffold_4_pilon.572	Alus_evm.model.scaffold02504.6
OG0000032	Dcor_evm.model.hic_scaffold_9_pilon.1697	Alus_evm.model.scaffold15638.2
OG0000032	Dcor_evm.model.hic_scaffold_9_pilon.1755	Alus_evm.model.scaffold02504.4
OG0000034	Dcor_evm.model.hic_scaffold_36_pilon.1	Alus_evm.model.scaffold18432.1, Alus_evm.model.scaffold16738.2, Alus_evm.model.scaffold10686.4
OG0000034	Dcor_evm.model.hic_scaffold_21_pilon.8	Alus_evm.model.scaffold11197.9
OG0000034	Dcor_evm.model.hic_scaffold_5_pilon.695	Alus_evm.model.scaffold11197.11, Alus_evm.model.scaffold17573.1
OG0000035	Dcor_evm.model.hic_scaffold_5_pilon.1185	Alus_evm.model.scaffold07949.10
OG0000035	Dcor_evm.model.hic_scaffold_5_pilon.1096	Alus_evm.model.scaffold14868.8
OG0000035	Dcor_evm.model.hic_scaffold_3_pilon.1147, Dcor_evm.model.hic_scaffold_3_pilon.1146, Dcor_evm.model.hic_scaffold_3_pilon.1145, Dcor_evm.model.hic_scaffold_3_pilon.1144, Dcor_evm.model.hic_scaffold_3_pilon.1142, Dcor_evm.model.hic_scaffold_3_pilon.1141, Dcor_evm.model.hic_scaffold_3_pilon.1143, Dcor_evm.model.hic_scaffold_3_pilon.1140, Dcor_evm.model.hic_scaffold_3_pilon.1138, Dcor_evm.model.hic_scaffold_3_pilon.1137, Dcor_evm.model.hic_scaffold_3_pilon.1139, Dcor_evm.model.hic_scaffold_3_pilon.1136	Alus_evm.model.scaffold03650.1, Alus_evm.model.scaffold13386.1, Alus_evm.model.scaffold08779.1, Alus_evm.model.scaffold09046.1, Alus_evm.model.scaffold17723.1, Alus_evm.model.scaffold15093.1
OG0000035	Dcor_evm.model.hic_scaffold_3_pilon.186	Alus_evm.model.scaffold03560.4
OG0000036	Dcor_evm.model.hic_scaffold_4_pilon.680	Alus_evm.model.scaffold11929.17
OG0000036	Dcor_evm.model.hic_scaffold_1_pilon.750	Alus_evm.model.scaffold03891.48
OG0000037	Dcor_evm.model.hic_scaffold_4_pilon.948, Dcor_evm.model.hic_scaffold_4_pilon.1201	Alus_evm.model.scaffold12565.3
OG0000037	Dcor_evm.model.hic_scaffold_2_pilon.116, Dcor_evm.model.hic_scaffold_2_pilon.115, Dcor_evm.model.hic_scaffold_2_pilon.117, Dcor_evm.model.hic_scaffold_2_pilon.118, Dcor_evm.model.hic_scaffold_15_pilon.45, Dcor_evm.model.hic_scaffold_7_pilon.708	Alus_evm.model.scaffold12565.2
OG0000037	Dcor_evm.model.hic_scaffold_9_pilon.981, Dcor_evm.model.hic_scaffold_9_pilon.982, Dcor_evm.model.hic_scaffold_9_pilon.983, Dcor_evm.model.hic_scaffold_9_pilon.984, Dcor_evm.model.hic_scaffold_9_pilon.987, Dcor_evm.model.hic_scaffold_13_pilon.93, Dcor_evm.model.hic_scaffold_9_pilon.988, Dcor_evm.model.hic_scaffold_9_pilon.989, Dcor_evm.model.hic_scaffold_9_pilon.985	Alus_evm.model.scaffold04989.8
OG0000037	Dcor_evm.model.hic_scaffold_6_pilon.952, Dcor_evm.model.hic_scaffold_6_pilon.953	Alus_evm.model.scaffold06445.3
