Projection_ID	confidence_level
evm.model.hic_scaffold_4_pilon.478.1564	partial
evm.model.hic_scaffold_8_pilon.576.18650	partial
evm.model.hic_scaffold_7_pilon.549.23	partial
evm.model.hic_scaffold_10_pilon.1070.2481	partial
evm.model.hic_scaffold_7_pilon.69.17108	partial
evm.model.hic_scaffold_4_pilon.728.33941	partial
evm.model.hic_scaffold_4_pilon.728.920	average_confidence
evm.model.hic_scaffold_6_pilon.1746.4787	partial
evm.model.hic_scaffold_1_pilon.216.138	partial
evm.model.hic_scaffold_7_pilon.444.9910	average_confidence
evm.model.hic_scaffold_8_pilon.234.4785	partial
evm.model.hic_scaffold_9_pilon.1815.-1	partial
evm.model.hic_scaffold_3_pilon.399.25148	partial
evm.model.hic_scaffold_4_pilon.725.33941	partial
evm.model.hic_scaffold_10_pilon.146.696	partial
evm.model.hic_scaffold_13_pilon.137.18107	partial
evm.model.hic_scaffold_6_pilon.69.1	partial
evm.model.hic_scaffold_9_pilon.459.25954	partial
evm.model.hic_scaffold_10_pilon.327.416	high_confidence
evm.model.hic_scaffold_9_pilon.668.251	partial
evm.model.hic_scaffold_10_pilon.339.4204	partial
evm.model.hic_scaffold_10_pilon.339.13349	partial
evm.model.hic_scaffold_6_pilon.875.2836	average_confidence
evm.model.hic_scaffold_9_pilon.62.3723	average_confidence
evm.model.hic_scaffold_10_pilon.1035.2880	partial
evm.model.hic_scaffold_1_pilon.664.86	partial
evm.model.hic_scaffold_7_pilon.1098.5704	average_confidence
evm.model.hic_scaffold_7_pilon.1514.1405	high_confidence
evm.model.hic_scaffold_3_pilon.1056.-1	average_confidence
evm.model.hic_scaffold_10_pilon.41.4930	average_confidence
evm.model.hic_scaffold_1_pilon.1046.10	partial
evm.model.hic_scaffold_8_pilon.443.2009	average_confidence
evm.model.hic_scaffold_9_pilon.93.1560	partial
evm.model.hic_scaffold_1_pilon.362.1304	average_confidence
evm.model.hic_scaffold_42_pilon.9.34	average_confidence
evm.model.hic_scaffold_5_pilon.1476.1258	average_confidence
evm.model.hic_scaffold_7_pilon.1432.2386	partial
evm.model.hic_scaffold_8_pilon.296.6891	high_confidence
evm.model.hic_scaffold_5_pilon.270.-1	partial
evm.model.hic_scaffold_10_pilon.69.33153	average_confidence
evm.model.hic_scaffold_3_pilon.784.6886	partial
evm.model.hic_scaffold_9_pilon.1053.1490	partial
evm.model.hic_scaffold_8_pilon.939.7183	partial
evm.model.hic_scaffold_7_pilon.18.6224	partial
evm.model.hic_scaffold_10_pilon.1352.4819	partial
evm.model.hic_scaffold_10_pilon.1352.11052	partial
evm.model.hic_scaffold_10_pilon.1352.11069	partial
evm.model.hic_scaffold_10_pilon.1352.11236	partial
evm.model.hic_scaffold_10_pilon.1352.12018	partial
evm.model.hic_scaffold_10_pilon.1352.12179	partial
evm.model.hic_scaffold_10_pilon.1352.12371	partial
evm.model.hic_scaffold_10_pilon.1352.12497	partial
evm.model.hic_scaffold_10_pilon.1352.12541	partial
evm.model.hic_scaffold_10_pilon.1352.12563	partial
evm.model.hic_scaffold_10_pilon.1352.12768	partial
evm.model.hic_scaffold_10_pilon.1352.12886	partial
evm.model.hic_scaffold_10_pilon.1352.13225	partial
evm.model.hic_scaffold_10_pilon.1352.15472	partial
evm.model.hic_scaffold_10_pilon.1352.17911	partial
evm.model.hic_scaffold_10_pilon.1352.31865	partial
evm.model.hic_scaffold_10_pilon.1352.33531	partial
evm.model.hic_scaffold_10_pilon.1352.36436	partial
evm.model.hic_scaffold_10_pilon.1352.37688	partial
evm.model.hic_scaffold_7_pilon.1436.940	partial
evm.model.hic_scaffold_3_pilon.1467.-1	partial
evm.model.hic_scaffold_9_pilon.804.-1	partial
evm.model.hic_scaffold_9_pilon.1235.9136	partial
evm.model.hic_scaffold_15_pilon.42.2644	average_confidence
evm.model.hic_scaffold_16_pilon.236.743	average_confidence
evm.model.hic_scaffold_10_pilon.1202.1047	partial
evm.model.hic_scaffold_2_pilon.627.31587	partial
evm.model.hic_scaffold_2_pilon.627.37755	partial
evm.model.hic_scaffold_2_pilon.627.29011	partial
evm.model.hic_scaffold_6_pilon.230.1	partial
evm.model.hic_scaffold_6_pilon.230.1777	partial
evm.model.hic_scaffold_9_pilon.853.4898	average_confidence
evm.model.hic_scaffold_4_pilon.250.2111	partial
evm.model.hic_scaffold_6_pilon.1593.443	average_confidence
evm.model.hic_scaffold_10_pilon.288.12951	partial
evm.model.hic_scaffold_10_pilon.288.24502	average_confidence
evm.model.hic_scaffold_6_pilon.664.6082	partial
evm.model.hic_scaffold_3_pilon.354.22451	partial
evm.model.hic_scaffold_3_pilon.354.25671	partial
evm.model.hic_scaffold_5_pilon.1273.9913	average_confidence
evm.model.hic_scaffold_3_pilon.1150.-1	partial
evm.model.hic_scaffold_10_pilon.615.916	average_confidence
evm.model.hic_scaffold_9_pilon.869.51	average_confidence
evm.model.hic_scaffold_1_pilon.144.5554	partial
evm.model.hic_scaffold_4_pilon.1102.1083	high_confidence
evm.model.hic_scaffold_1_pilon.494.1349	average_confidence
evm.model.hic_scaffold_1_pilon.466.645	high_confidence
evm.model.hic_scaffold_4_pilon.561.7869	average_confidence
evm.model.hic_scaffold_6_pilon.1379.2158	high_confidence
evm.model.hic_scaffold_6_pilon.1823.1081	average_confidence
evm.model.hic_scaffold_9_pilon.1228.3744	partial
evm.model.hic_scaffold_4_pilon.164.3091	partial
evm.model.hic_scaffold_4_pilon.164.3136	partial
evm.model.hic_scaffold_9_pilon.522.15693	partial
evm.model.hic_scaffold_9_pilon.522.16508	partial
evm.model.hic_scaffold_9_pilon.522.33069	partial
evm.model.hic_scaffold_8_pilon.272.17293	partial
evm.model.hic_scaffold_4_pilon.160.5269	average_confidence
evm.model.hic_scaffold_3_pilon.1379.11601	average_confidence
evm.model.hic_scaffold_7_pilon.1455.6216	average_confidence
evm.model.hic_scaffold_10_pilon.302.14295	partial
evm.model.hic_scaffold_10_pilon.302.33741	partial
evm.model.hic_scaffold_1_pilon.304.138	partial
evm.model.hic_scaffold_1_pilon.1008.16	average_confidence
evm.model.hic_scaffold_4_pilon.25.4120	partial
evm.model.hic_scaffold_4_pilon.25.5370	partial
evm.model.hic_scaffold_4_pilon.25.6472	partial
evm.model.hic_scaffold_9_pilon.1668.2157	partial
evm.model.hic_scaffold_21_pilon.50.1357	partial
evm.model.hic_scaffold_21_pilon.50.24436	partial
evm.model.hic_scaffold_21_pilon.50.25150	partial
evm.model.hic_scaffold_4_pilon.281.351	average_confidence
evm.model.hic_scaffold_5_pilon.948.26931	partial
evm.model.hic_scaffold_47_pilon.9.-1	partial
evm.model.hic_scaffold_6_pilon.1083.19748	partial
evm.model.hic_scaffold_6_pilon.1595.3096	partial
evm.model.hic_scaffold_4_pilon.896.-1	partial
evm.model.hic_scaffold_2_pilon.359.16971	partial
evm.model.hic_scaffold_4_pilon.291.729	average_confidence
evm.model.hic_scaffold_7_pilon.895.4643	average_confidence
evm.model.hic_scaffold_8_pilon.346.-1	partial
evm.model.hic_scaffold_2_pilon.219.6322	partial
evm.model.hic_scaffold_2_pilon.294.1812	partial
evm.model.hic_scaffold_3_pilon.218.5464	average_confidence
evm.model.hic_scaffold_3_pilon.1429.24915	partial
evm.model.hic_scaffold_8_pilon.469.11992	average_confidence
evm.model.hic_scaffold_3_pilon.615.2292	average_confidence
evm.model.hic_scaffold_3_pilon.1110.5624	high_confidence
evm.model.hic_scaffold_8_pilon.401.17798	partial
evm.model.hic_scaffold_9_pilon.1201.9806	partial
evm.model.hic_scaffold_6_pilon.191.2888	high_confidence
evm.model.hic_scaffold_9_pilon.652.2620	average_confidence
evm.model.hic_scaffold_7_pilon.197.10058	partial
evm.model.hic_scaffold_7_pilon.197.10219	partial
evm.model.hic_scaffold_15_pilon.56.4619	partial
evm.model.hic_scaffold_3_pilon.601.11750	partial
evm.model.hic_scaffold_3_pilon.601.9406	partial
evm.model.hic_scaffold_5_pilon.879.1390	partial
evm.model.hic_scaffold_4_pilon.1236.3339	partial
evm.model.hic_scaffold_4_pilon.1236.1212	partial
evm.model.hic_scaffold_4_pilon.1236.13943	partial
evm.model.hic_scaffold_6_pilon.1140.28073	partial
evm.model.hic_scaffold_6_pilon.1140.31314	partial
evm.model.hic_scaffold_6_pilon.1140.2711	partial
evm.model.hic_scaffold_4_pilon.69.5359	average_confidence
evm.model.hic_scaffold_8_pilon.644.4141	partial
evm.model.hic_scaffold_10_pilon.587.17919	partial
evm.model.hic_scaffold_10_pilon.587.34276	partial
evm.model.hic_scaffold_1_pilon.797.693	partial
evm.model.hic_scaffold_1_pilon.797.1611	partial
evm.model.hic_scaffold_6_pilon.1493.2145	average_confidence
evm.model.hic_scaffold_4_pilon.729.920	average_confidence
evm.model.hic_scaffold_10_pilon.1358.2804	average_confidence
evm.model.hic_scaffold_3_pilon.1226.19578	average_confidence
evm.model.hic_scaffold_5_pilon.694.2922	average_confidence
evm.model.hic_scaffold_8_pilon.887.1574	partial
evm.model.hic_scaffold_47_pilon.17.660	partial
evm.model.hic_scaffold_47_pilon.17.5300	partial
evm.model.hic_scaffold_5_pilon.713.2288	average_confidence
evm.model.hic_scaffold_9_pilon.33.4018	partial
evm.model.hic_scaffold_9_pilon.33.9528	partial
evm.model.hic_scaffold_1_pilon.329.138	partial
evm.model.hic_scaffold_4_pilon.936.-1	partial
evm.model.hic_scaffold_4_pilon.720.7001	partial
evm.model.hic_scaffold_4_pilon.720.23448	partial
evm.model.hic_scaffold_6_pilon.1816.2194	average_confidence
evm.model.hic_scaffold_7_pilon.1574.3788	high_confidence
evm.model.hic_scaffold_5_pilon.683.5609	high_confidence
evm.model.hic_scaffold_3_pilon.863.35646	partial
evm.model.hic_scaffold_3_pilon.863.2671	average_confidence
evm.model.hic_scaffold_3_pilon.863.36531	partial
evm.model.hic_scaffold_16_pilon.9.1464	average_confidence
evm.model.hic_scaffold_34_pilon.6.16281	partial
evm.model.scaffold1853_size1519.1.21835	partial
evm.model.scaffold1853_size1519.1.21860	partial
evm.model.scaffold1853_size1519.1.34229	partial
evm.model.hic_scaffold_3_pilon.230.17255	average_confidence
evm.model.hic_scaffold_1_pilon.43.-1	partial
evm.model.hic_scaffold_7_pilon.984.6532	partial
evm.model.hic_scaffold_7_pilon.983.1120	average_confidence
evm.model.hic_scaffold_9_pilon.279.925	average_confidence
evm.model.hic_scaffold_10_pilon.1277.30071	partial
evm.model.hic_scaffold_4_pilon.864.32277	partial
evm.model.hic_scaffold_14_pilon.6.1632	average_confidence
evm.model.hic_scaffold_9_pilon.1418.19555	average_confidence
evm.model.hic_scaffold_3_pilon.1368.409	average_confidence
evm.model.hic_scaffold_1_pilon.279.-1	average_confidence
evm.model.hic_scaffold_10_pilon.1328.-1	partial
evm.model.hic_scaffold_5_pilon.1493.5318	average_confidence
evm.model.hic_scaffold_1_pilon.305.160	partial
evm.model.hic_scaffold_4_pilon.1138.4027	partial
evm.model.hic_scaffold_4_pilon.1138.32194	partial
evm.model.WTDall_ctg9302.2.7000	average_confidence
evm.model.WTDall_ctg9302.2.7363	average_confidence
evm.model.hic_scaffold_9_pilon.435.2894	average_confidence
evm.model.hic_scaffold_9_pilon.435.14110	partial
evm.model.hic_scaffold_6_pilon.39.7961	partial
evm.model.hic_scaffold_7_pilon.272.2054	partial
evm.model.hic_scaffold_8_pilon.565.6988	partial
evm.model.hic_scaffold_8_pilon.565.22091	partial
evm.model.hic_scaffold_44_pilon.20.1045	high_confidence
evm.model.hic_scaffold_9_pilon.1473.4016	partial
evm.model.hic_scaffold_7_pilon.1327.-1	partial
evm.model.hic_scaffold_2_pilon.216.10204	partial
evm.model.hic_scaffold_7_pilon.1351.1956	low_confidence
evm.model.hic_scaffold_3_pilon.20.4683	average_confidence
evm.model.hic_scaffold_1_pilon.624.166	average_confidence
evm.model.hic_scaffold_1_pilon.1010.16	average_confidence
evm.model.hic_scaffold_1_pilon.1160.1217	average_confidence
evm.model.hic_scaffold_1_pilon.851.10	partial
evm.model.hic_scaffold_1_pilon.851.2014	partial
evm.model.hic_scaffold_7_pilon.899.799	average_confidence
evm.model.hic_scaffold_6_pilon.858.738	high_confidence
evm.model.hic_scaffold_10_pilon.1078.4919	partial
evm.model.hic_scaffold_3_pilon.259.7719	average_confidence
evm.model.hic_scaffold_1_pilon.1000.16	average_confidence
evm.model.hic_scaffold_3_pilon.285.-1	partial
evm.model.hic_scaffold_9_pilon.1310.6034	average_confidence
evm.model.hic_scaffold_15_pilon.23.3111	average_confidence
evm.model.hic_scaffold_3_pilon.627.3246	partial
evm.model.hic_scaffold_3_pilon.627.13791	average_confidence
evm.model.hic_scaffold_2_pilon.188.2412	partial
evm.model.hic_scaffold_2_pilon.188.28860	partial
evm.model.hic_scaffold_4_pilon.835.91	average_confidence
evm.model.hic_scaffold_2_pilon.84.-1	partial
evm.model.hic_scaffold_9_pilon.144.457	high_confidence
evm.model.hic_scaffold_4_pilon.341.6685	average_confidence
evm.model.hic_scaffold_7_pilon.1345.4002	partial
evm.model.hic_scaffold_3_pilon.1180.1788	partial
evm.model.hic_scaffold_2_pilon.226.291	partial
evm.model.hic_scaffold_3_pilon.56.946	partial
evm.model.hic_scaffold_9_pilon.1845.511	high_confidence
evm.model.hic_scaffold_9_pilon.1387.5551	high_confidence
evm.model.hic_scaffold_3_pilon.858.634	average_confidence
evm.model.hic_scaffold_8_pilon.441.3831	average_confidence
evm.model.hic_scaffold_16_pilon.123.1050	partial
evm.model.hic_scaffold_6_pilon.1565.346	high_confidence
evm.model.hic_scaffold_10_pilon.628.2269	partial
evm.model.hic_scaffold_9_pilon.1501.3183	average_confidence
evm.model.hic_scaffold_9_pilon.1694.2785	high_confidence
evm.model.hic_scaffold_6_pilon.1574.6959	partial
evm.model.hic_scaffold_3_pilon.841.-1	partial
evm.model.hic_scaffold_13_pilon.123.29753	partial
evm.model.hic_scaffold_1_pilon.117.18	high_confidence
evm.model.hic_scaffold_15_pilon.92.7426	average_confidence
evm.model.hic_scaffold_15_pilon.92.16742	partial
evm.model.hic_scaffold_6_pilon.1734.3386	average_confidence
evm.model.hic_scaffold_3_pilon.126.10561	average_confidence
evm.model.hic_scaffold_9_pilon.31.4018	average_confidence
evm.model.hic_scaffold_3_pilon.942.13065	partial
evm.model.hic_scaffold_12_pilon.53.8613	average_confidence
evm.model.hic_scaffold_3_pilon.438.1228	average_confidence
evm.model.hic_scaffold_3_pilon.438.27254	partial
evm.model.hic_scaffold_7_pilon.1079.293	average_confidence
evm.model.hic_scaffold_3_pilon.483.-1	partial
evm.model.hic_scaffold_3_pilon.1297.388	partial
evm.model.hic_scaffold_3_pilon.1297.5569	partial
evm.model.hic_scaffold_8_pilon.136.396	average_confidence
evm.model.contig_92_pilon.1.10592	average_confidence
evm.model.hic_scaffold_2_pilon.344.29295	partial
evm.model.hic_scaffold_10_pilon.363.137	average_confidence
evm.model.hic_scaffold_9_pilon.8.4109	partial
evm.model.hic_scaffold_4_pilon.1275.5492	partial
evm.model.hic_scaffold_15_pilon.34.4049	high_confidence
evm.model.hic_scaffold_3_pilon.1109.5624	partial
evm.model.hic_scaffold_7_pilon.83.789	average_confidence
evm.model.hic_scaffold_4_pilon.515.25454	partial
evm.model.hic_scaffold_4_pilon.515.28521	partial
evm.model.WTDall_ctg264.1.17850	average_confidence
evm.model.WTDall_ctg264.1.27926	average_confidence
evm.model.hic_scaffold_4_pilon.599.1181	average_confidence
evm.model.hic_scaffold_8_pilon.369.-1	average_confidence
evm.model.hic_scaffold_10_pilon.1068.2481	average_confidence
evm.model.hic_scaffold_9_pilon.749.674	average_confidence
evm.model.hic_scaffold_8_pilon.181.15090	average_confidence
evm.model.hic_scaffold_16_pilon.220.2222	average_confidence
evm.model.hic_scaffold_9_pilon.1420.434	partial
evm.model.hic_scaffold_7_pilon.668.8436	high_confidence
evm.model.hic_scaffold_3_pilon.266.-1	partial
evm.model.hic_scaffold_16_pilon.70.-1	partial
evm.model.hic_scaffold_9_pilon.1639.-1	partial
evm.model.hic_scaffold_8_pilon.255.311	average_confidence
evm.model.hic_scaffold_7_pilon.1244.13080	partial
evm.model.hic_scaffold_8_pilon.850.1215	partial
evm.model.hic_scaffold_10_pilon.997.-1	partial
evm.model.hic_scaffold_3_pilon.605.8289	partial
evm.model.hic_scaffold_3_pilon.236.-1	average_confidence
evm.model.hic_scaffold_8_pilon.280.15520	partial
evm.model.hic_scaffold_66_pilon.4.26578	partial
evm.model.hic_scaffold_6_pilon.975.5564	partial
evm.model.hic_scaffold_2_pilon.197.5829	partial
evm.model.hic_scaffold_10_pilon.930.8938	partial
evm.model.hic_scaffold_10_pilon.988.23711	partial
evm.model.hic_scaffold_10_pilon.988.27974	partial
evm.model.hic_scaffold_13_pilon.72.3593	partial
evm.model.hic_scaffold_13_pilon.72.8447	partial
evm.model.hic_scaffold_13_pilon.72.8788	partial
evm.model.hic_scaffold_13_pilon.72.9097	partial
evm.model.hic_scaffold_6_pilon.1825.1081	average_confidence
evm.model.hic_scaffold_1_pilon.688.38	partial
evm.model.hic_scaffold_6_pilon.1346.2140	low_confidence
evm.model.hic_scaffold_6_pilon.1346.6773	average_confidence
evm.model.hic_scaffold_6_pilon.1055.3812	high_confidence
evm.model.hic_scaffold_2_pilon.772.229	partial
evm.model.hic_scaffold_5_pilon.1128.9414	partial
evm.model.hic_scaffold_5_pilon.1128.11437	partial
evm.model.hic_scaffold_5_pilon.1128.14014	partial
evm.model.hic_scaffold_5_pilon.1128.11892	partial
evm.model.hic_scaffold_5_pilon.1128.12010	partial
evm.model.hic_scaffold_5_pilon.1128.12487	partial
evm.model.hic_scaffold_5_pilon.1128.15235	partial
evm.model.hic_scaffold_5_pilon.1128.16579	partial
evm.model.hic_scaffold_5_pilon.1128.16586	partial
evm.model.hic_scaffold_5_pilon.1128.22855	partial
evm.model.hic_scaffold_10_pilon.408.-1	average_confidence
evm.model.hic_scaffold_3_pilon.818.13838	partial
evm.model.hic_scaffold_2_pilon.617.8001	partial
evm.model.hic_scaffold_6_pilon.770.1653	average_confidence
evm.model.hic_scaffold_15_pilon.54.18341	partial
evm.model.hic_scaffold_8_pilon.72.838	partial
evm.model.hic_scaffold_3_pilon.1326.3619	average_confidence
evm.model.hic_scaffold_3_pilon.1326.5965	partial
evm.model.hic_scaffold_3_pilon.1326.32004	partial
evm.model.hic_scaffold_6_pilon.399.8012	partial
evm.model.hic_scaffold_5_pilon.60.5180	partial
evm.model.hic_scaffold_5_pilon.491.6811	average_confidence
evm.model.hic_scaffold_5_pilon.166.130	average_confidence
evm.model.hic_scaffold_10_pilon.384.3171	high_confidence
evm.model.hic_scaffold_9_pilon.1509.2247	partial
evm.model.hic_scaffold_6_pilon.1792.7667	partial
evm.model.hic_scaffold_6_pilon.1792.29465	partial
evm.model.hic_scaffold_9_pilon.1514.3247	partial
evm.model.hic_scaffold_9_pilon.1160.3714	partial
evm.model.hic_scaffold_9_pilon.1160.3641	partial
evm.model.hic_scaffold_9_pilon.777.1970	average_confidence
evm.model.hic_scaffold_5_pilon.756.18761	partial
evm.model.hic_scaffold_10_pilon.74.18787	partial
evm.model.hic_scaffold_10_pilon.1051.6055	average_confidence
evm.model.hic_scaffold_1_pilon.729.14	average_confidence
evm.model.hic_scaffold_9_pilon.443.4260	partial
evm.model.hic_scaffold_6_pilon.274.1	partial
evm.model.hic_scaffold_6_pilon.274.495	partial
evm.model.hic_scaffold_6_pilon.274.499	partial
evm.model.hic_scaffold_6_pilon.274.503	partial
evm.model.hic_scaffold_6_pilon.274.669	partial
evm.model.hic_scaffold_6_pilon.274.8344	partial
evm.model.hic_scaffold_43_pilon.5.11747	partial
evm.model.hic_scaffold_43_pilon.5.35018	average_confidence
evm.model.hic_scaffold_16_pilon.36.513	average_confidence
evm.model.hic_scaffold_4_pilon.421.5086	average_confidence
evm.model.hic_scaffold_2_pilon.29.17940	average_confidence
evm.model.hic_scaffold_10_pilon.1125.5743	high_confidence
evm.model.hic_scaffold_2_pilon.365.-1	average_confidence
evm.model.hic_scaffold_8_pilon.685.1106	average_confidence
evm.model.hic_scaffold_8_pilon.685.4319	partial
evm.model.hic_scaffold_8_pilon.685.32091	partial
evm.model.hic_scaffold_16_pilon.231.947	high_confidence
evm.model.hic_scaffold_9_pilon.624.3009	average_confidence
evm.model.hic_scaffold_4_pilon.1338.364	average_confidence
evm.model.hic_scaffold_7_pilon.1537.6569	average_confidence
evm.model.hic_scaffold_3_pilon.1198.2819	average_confidence
evm.model.hic_scaffold_2_pilon.50.13350	partial
evm.model.hic_scaffold_2_pilon.50.28922	partial
evm.model.hic_scaffold_2_pilon.50.22732	partial
evm.model.hic_scaffold_9_pilon.77.23551	partial
evm.model.hic_scaffold_5_pilon.965.32719	partial
evm.model.hic_scaffold_4_pilon.832.438	high_confidence
