Class	Organism	Per_dnaPipeTE_genome
LTR	Aleochara 1	0.005768448
LINE	Aleochara 1	0.013148435
SINE	Aleochara 1	6.84752E-05
DNA	Aleochara 1	0.013350764
Helitron	Aleochara 1	0.012891415
rRNA	Aleochara 1	0.01596301
Low_Complexity/Satellites	Aleochara 1	0.000372643
Simple_repeat	Aleochara 1	0.01597175
Unknown	Aleochara 1	0.087938473
non-repeat	Aleochara 1	0.834526588
Dc-Sat1	Leptusa	0
LTR	Leptusa	0.011092147
LINE	Leptusa	0.011873011
SINE	Leptusa	0.000244799
DNA	Leptusa	0.01448625
Helitron	Leptusa	0.000500736
rRNA	Leptusa	0.001150782
Low_Complexity/Satellites	Leptusa	0.001817666
Simple_repeat	Leptusa	0.012370768
Unknown	Leptusa	0.133798043
non-repeat	Leptusa	0.812665799
Dc-Sat1	Oxypoda	0
LTR	Oxypoda	0.007962612
LINE	Oxypoda	0.010821873
SINE	Oxypoda	3.71978E-05
DNA	Oxypoda	0.006937145
Helitron	Oxypoda	0.000202543
rRNA	Oxypoda	0.00534318
Low_Complexity/Satellites	Oxypoda	0.069896898
Simple_repeat	Oxypoda	0.014178775
Unknown	Oxypoda	0.573916919
non-repeat	Oxypoda	0.310702857
Dc-Sat1	Liometoxenus	0
LTR	Liometoxenus	0.272463517
LINE	Liometoxenus	0.007916053
SINE	Liometoxenus	0.000609568
DNA	Liometoxenus	0.035200742
Helitron	Liometoxenus	0.002816081
rRNA	Liometoxenus	0.00780559
Low_Complexity/Satellites	Liometoxenus	0.001979019
Simple_repeat	Liometoxenus	0.022559296
Unknown	Liometoxenus	0.133317268
non-repeat	Liometoxenus	0.515332867
Dc-Sat1	Myllaena	0
LTR	Myllaena	0.019420006
LINE	Myllaena	0.004902125
SINE	Myllaena	0
DNA	Myllaena	0.028816426
Helitron	Myllaena	0.004694444
rRNA	Myllaena	0.004724677
Low_Complexity/Satellites	Myllaena	0.001165521
Simple_repeat	Myllaena	0.012036416
Unknown	Myllaena	0.245527484
non-repeat	Myllaena	0.678712902
Dc-Sat1	Falagria	0
LTR	Falagria	0.023769852
LINE	Falagria	0.015849348
SINE	Falagria	0.000725678
DNA	Falagria	0.027873533
Helitron	Falagria	0.003687063
rRNA	Falagria	0.006079231
Low_Complexity/Satellites	Falagria	0.008436894
Simple_repeat	Falagria	0.032299129
Unknown	Falagria	0.161488476
non-repeat	Falagria	0.719790796
Dc-Sat1	Lissagria	0
LTR	Lissagria	0.013256314
LINE	Lissagria	0.005260343
SINE	Lissagria	0.00041324
DNA	Lissagria	0.012106488
Helitron	Lissagria	3.33019E-05
rRNA	Lissagria	0.007661524
Low_Complexity/Satellites	Lissagria	0.000743403
Simple_repeat	Lissagria	0.0090178
Unknown	Lissagria	0.622350915
non-repeat	Lissagria	0.32915667
Dc-Sat1	Drusilla	0
LTR	Drusilla	0.017367208
LINE	Drusilla	0.014156846
SINE	Drusilla	0.000514457
DNA	Drusilla	0.031531004
Helitron	Drusilla	0.010708256
rRNA	Drusilla	0.005260737
Low_Complexity/Satellites	Drusilla	0.004000713
Simple_repeat	Drusilla	0.025132423
Unknown	Drusilla	0.481178375
non-repeat	Drusilla	0.410149981
Dc-Sat1	Earota	0
LTR	Earota	0.020890863
LINE	Earota	0.024653067
SINE	Earota	0.000588803
DNA	Earota	0.007338248
Helitron	Earota	0.00344168
rRNA	Earota	0.011245549
Low_Complexity/Satellites	Earota	0.001675974
Simple_repeat	Earota	0.007651511
Unknown	Earota	0.522381986
non-repeat	Earota	0.400132319
Dc-Sat1	Geostiba	0
LTR	Geostiba	0.014855907
LINE	Geostiba	0.006931964
SINE	Geostiba	0
DNA	Geostiba	0.01639399
Helitron	Geostiba	0.001224747
rRNA	Geostiba	0.001154634
Low_Complexity/Satellites	Geostiba	0.021783859
Simple_repeat	Geostiba	0.013305259
Unknown	Geostiba	0.550331451
non-repeat	Geostiba	0.374018189
Dc-Sat1	Atheta	0
LTR	Atheta	0.017117775
LINE	Atheta	0.011345531
SINE	Atheta	0.000831419
DNA	Atheta	0.010768398
Helitron	Atheta	0.003622442
rRNA	Atheta	0.002085278
Low_Complexity/Satellites	Atheta	0.002106291
Simple_repeat	Atheta	0.07373042
Unknown	Atheta	0.216819964
non-repeat	Atheta	0.661572483
Dc-Sat1	Dalotia 1	0.612785099
LTR	Dalotia 1	0.001399879
LINE	Dalotia 1	0.002637977
SINE	Dalotia 1	0
DNA	Dalotia 1	0.001956126
Helitron	Dalotia 1	0.003832826
rRNA	Dalotia 1	0.020136903
Low_Complexity/Satellites	Dalotia 1	0.002010019
Simple_repeat	Dalotia 1	0.005595575
Unknown	Dalotia 1	0.025120587
non-repeat	Dalotia 1	0.324525009
Dc-Sat1	Dalotia 2	0.552861687
LTR	Dalotia 2	0.003294937
LINE	Dalotia 2	0.001913179
SINE	Dalotia 2	0
DNA	Dalotia 2	0.001932076
Helitron	Dalotia 2	0.001781006
rRNA	Dalotia 2	7.56191E-05
Low_Complexity/Satellites	Dalotia 2	0.000574031
Simple_repeat	Dalotia 2	0.017506976
Unknown	Dalotia 2	0.015255515
non-repeat	Dalotia 2	0.404732689
Dc-Sat1	Ecitophya	0.000245346
LTR	Ecitophya	0.025097676
LINE	Ecitophya	0.020257395
SINE	Ecitophya	0
DNA	Ecitophya	0.048946904
Helitron	Ecitophya	5.85003E-05
rRNA	Ecitophya	0.024766668
Low_Complexity/Satellites	Ecitophya	0.002982785
Simple_repeat	Ecitophya	0.010489083
Unknown	Ecitophya	0.472502656
non-repeat	Ecitophya	0.394652988
Dc-Sat1	Ecitomorpha	0
LTR	Ecitomorpha	0.022130692
LINE	Ecitomorpha	0.02537342
SINE	Ecitomorpha	0.001841638
DNA	Ecitomorpha	0.03038644
Helitron	Ecitomorpha	0.002278602
rRNA	Ecitomorpha	0.022890502
Low_Complexity/Satellites	Ecitomorpha	0.003634885
Simple_repeat	Ecitomorpha	0.022180169
Unknown	Ecitomorpha	0.447119007
non-repeat	Ecitomorpha	0.422164645
Dc-Sat1	Ecitodaemon	0
LTR	Ecitodaemon	0.011714194
LINE	Ecitodaemon	0.00600576
SINE	Ecitodaemon	0.006375408
DNA	Ecitodaemon	0.003402541
Helitron	Ecitodaemon	5.77127E-05
rRNA	Ecitodaemon	0.090457501
Low_Complexity/Satellites	Ecitodaemon	0.000770188
Simple_repeat	Ecitodaemon	0.027697284
Unknown	Ecitodaemon	0.387144252
non-repeat	Ecitodaemon	0.46637516
