Orthogroup	Dalotia_update.aa	Liometoxenus.aa
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1273	Liom_evm.model.scaffold15973.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1284	Liom_evm.model.scaffold31673.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1295	Liom_evm.model.scaffold09367.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1283	Liom_evm.model.scaffold59929.3
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1277	Liom_evm.model.scaffold21829.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1282	Liom_evm.model.scaffold59929.5
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1275	Liom_evm.model.scaffold52860.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1280	Liom_evm.model.scaffold36215.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1292	Liom_evm.model.scaffold37776.1
OG0000002	Dcor_evm.model.hic_scaffold_6_pilon.90, Dcor_evm.model.hic_scaffold_7_pilon.688, Dcor_evm.model.hic_scaffold_7_pilon.687, Dcor_evm.model.hic_scaffold_15_pilon.67, Dcor_evm.model.hic_scaffold_7_pilon.685, Dcor_evm.model.hic_scaffold_15_pilon.70, Dcor_evm.model.hic_scaffold_7_pilon.682	Liom_evm.model.scaffold57839.1
OG0000002	Dcor_evm.model.hic_scaffold_6_pilon.39, Dcor_evm.model.hic_scaffold_6_pilon.143, Dcor_evm.model.hic_scaffold_6_pilon.116, Dcor_evm.model.hic_scaffold_6_pilon.34, Dcor_evm.model.hic_scaffold_6_pilon.148, Dcor_evm.model.hic_scaffold_6_pilon.105, Dcor_evm.model.hic_scaffold_6_pilon.40, Dcor_evm.model.hic_scaffold_64_pilon.28, Dcor_evm.model.hic_scaffold_6_pilon.183, Dcor_evm.model.hic_scaffold_64_pilon.24, Dcor_evm.model.hic_scaffold_64_pilon.21, Dcor_evm.model.hic_scaffold_64_pilon.36, Dcor_evm.model.hic_scaffold_6_pilon.142, Dcor_evm.model.hic_scaffold_6_pilon.106, Dcor_evm.model.hic_scaffold_6_pilon.104, Dcor_evm.model.hic_scaffold_6_pilon.149, Dcor_evm.model.hic_scaffold_6_pilon.45, Dcor_evm.model.hic_scaffold_6_pilon.147, Dcor_evm.model.hic_scaffold_6_pilon.37, Dcor_evm.model.hic_scaffold_6_pilon.43, Dcor_evm.model.hic_scaffold_6_pilon.44, Dcor_evm.model.hic_scaffold_6_pilon.36, Dcor_evm.model.hic_scaffold_6_pilon.35, Dcor_evm.model.hic_scaffold_6_pilon.115, Dcor_evm.model.hic_scaffold_6_pilon.38, Dcor_evm.model.hic_scaffold_35_pilon.15, Dcor_evm.model.hic_scaffold_64_pilon.19, Dcor_evm.model.hic_scaffold_35_pilon.14, Dcor_evm.model.hic_scaffold_6_pilon.110, Dcor_evm.model.hic_scaffold_35_pilon.19, Dcor_evm.model.hic_scaffold_5_pilon.111, Dcor_evm.model.hic_scaffold_5_pilon.115	Liom_evm.model.scaffold11619.2
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1285	Liom_evm.model.scaffold11092.1
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1580	Liom_evm.model.scaffold50488.2
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1578	Liom_evm.model.scaffold50488.3
OG0000002	Dcor_evm.model.hic_scaffold_7_pilon.1294	Liom_evm.model.scaffold40804.3
OG0000003	Dcor_evm.model.hic_scaffold_1_pilon.1082, Dcor_evm.model.hic_scaffold_8_pilon.382, Dcor_evm.model.hic_scaffold_1_pilon.1110, Dcor_evm.model.hic_scaffold_1_pilon.1019	Liom_evm.model.scaffold05319.1, Liom_evm.model.scaffold08574.1
OG0000004	Dcor_evm.model.hic_scaffold_6_pilon.1662, Dcor_evm.model.hic_scaffold_6_pilon.1664	Liom_evm.model.scaffold14896.1
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.1313	Liom_evm.model.scaffold38892.1, Liom_evm.model.scaffold24131.1, Liom_evm.model.scaffold60502.1, Liom_evm.model.scaffold18483.5, Liom_evm.model.scaffold32770.1, Liom_evm.model.scaffold17179.1, Liom_evm.model.scaffold24790.1, Liom_evm.model.scaffold20716.1, Liom_evm.model.scaffold53849.1
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.1560	Liom_evm.model.scaffold53902.1, Liom_evm.model.scaffold01823.1, Liom_evm.model.scaffold01669.1, Liom_evm.model.scaffold23209.1
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.614	Liom_evm.model.scaffold14832.2, Liom_evm.model.scaffold39571.1
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.613, Dcor_evm.model.hic_scaffold_7_pilon.612	Liom_evm.model.scaffold10082.1, Liom_evm.model.scaffold05136.1
OG0000004	Dcor_evm.model.hic_scaffold_16_pilon.50, Dcor_evm.model.hic_scaffold_6_pilon.777, Dcor_evm.model.hic_scaffold_16_pilon.83, Dcor_evm.model.hic_scaffold_6_pilon.749	Liom_evm.model.scaffold17516.1
OG0000004	Dcor_evm.model.hic_scaffold_4_pilon.1134	Liom_evm.model.scaffold00011.1, Liom_evm.model.scaffold02256.1, Liom_evm.model.scaffold43633.1, Liom_evm.model.scaffold47438.1, Liom_evm.model.scaffold39998.1, Liom_evm.model.scaffold08321.2, Liom_evm.model.scaffold36281.1, Liom_evm.model.scaffold40694.1, Liom_evm.model.scaffold24658.1, Liom_evm.model.scaffold16819.1
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.617	Liom_evm.model.scaffold53099.1, Liom_evm.model.scaffold55634.5, Liom_evm.model.scaffold59626.2
OG0000004	Dcor_evm.model.hic_scaffold_7_pilon.619, Dcor_evm.model.hic_scaffold_7_pilon.618	Liom_evm.model.scaffold39294.2, Liom_evm.model.scaffold01335.2, Liom_evm.model.scaffold18605.2
OG0000004	Dcor_evm.model.hic_scaffold_8_pilon.765, Dcor_evm.model.hic_scaffold_8_pilon.764, Dcor_evm.model.hic_scaffold_8_pilon.761, Dcor_evm.model.hic_scaffold_8_pilon.763, Dcor_evm.model.hic_scaffold_5_pilon.488	Liom_evm.model.scaffold01183.1
OG0000005	Dcor_evm.model.hic_scaffold_3_pilon.919	Liom_evm.model.scaffold22082.2
OG0000005	Dcor_evm.model.hic_scaffold_63_pilon.5	Liom_evm.model.scaffold54794.1
OG0000005	Dcor_evm.model.hic_scaffold_7_pilon.485	Liom_evm.model.scaffold34647.1, Liom_evm.model.scaffold30700.2, Liom_evm.model.scaffold50203.1
OG0000005	Dcor_evm.model.hic_scaffold_63_pilon.6	Liom_evm.model.scaffold36522.1
OG0000005	Dcor_evm.model.WTDall_ctg4617.4	Liom_evm.model.scaffold49935.1
OG0000005	Dcor_evm.model.WTDcor_ctg274.1	Liom_evm.model.scaffold03644.1
OG0000005	Dcor_evm.model.hic_scaffold_1_pilon.1102	Liom_evm.model.scaffold07232.2
OG0000006	Dcor_evm.model.hic_scaffold_1_pilon.924	Liom_evm.model.scaffold54865.2
OG0000006	Dcor_evm.model.hic_scaffold_8_pilon.910	Liom_evm.model.scaffold16690.1
OG0000006	Dcor_evm.model.hic_scaffold_9_pilon.848, Dcor_evm.model.hic_scaffold_9_pilon.150, Dcor_evm.model.hic_scaffold_9_pilon.582, Dcor_evm.model.hic_scaffold_13_pilon.86, Dcor_evm.model.hic_scaffold_9_pilon.583, Dcor_evm.model.hic_scaffold_13_pilon.84, Dcor_evm.model.hic_scaffold_13_pilon.85, Dcor_evm.model.hic_scaffold_9_pilon.134, Dcor_evm.model.hic_scaffold_9_pilon.131, Dcor_evm.model.hic_scaffold_9_pilon.133, Dcor_evm.model.hic_scaffold_9_pilon.130, Dcor_evm.model.hic_scaffold_9_pilon.136, Dcor_evm.model.hic_scaffold_9_pilon.135, Dcor_evm.model.hic_scaffold_9_pilon.132, Dcor_evm.model.hic_scaffold_9_pilon.129	Liom_evm.model.scaffold28028.1
OG0000006	Dcor_evm.model.hic_scaffold_9_pilon.128	Liom_evm.model.scaffold33875.2, Liom_evm.model.scaffold38382.1
OG0000006	Dcor_evm.model.hic_scaffold_9_pilon.824, Dcor_evm.model.hic_scaffold_9_pilon.823	Liom_evm.model.scaffold28595.1, Liom_evm.model.scaffold31527.2, Liom_evm.model.scaffold40597.1, Liom_evm.model.scaffold31291.1, Liom_evm.model.scaffold58115.1, Liom_evm.model.scaffold12864.1, Liom_evm.model.scaffold29950.1, Liom_evm.model.scaffold57478.2
OG0000006	Dcor_evm.model.hic_scaffold_9_pilon.825	Liom_evm.model.scaffold12893.4, Liom_evm.model.scaffold55398.1
OG0000006	Dcor_evm.model.hic_scaffold_1_pilon.692	Liom_evm.model.scaffold43395.3
OG0000007	Dcor_evm.model.hic_scaffold_31_pilon.11, Dcor_evm.model.scaffold2505_size1420.1, Dcor_evm.model.hic_scaffold_68_pilon.45, Dcor_evm.model.hic_scaffold_68_pilon.30, Dcor_evm.model.hic_scaffold_68_pilon.29, Dcor_evm.model.hic_scaffold_44_pilon.4, Dcor_evm.model.hic_scaffold_18_pilon.15, Dcor_evm.model.hic_scaffold_45_pilon.22, Dcor_evm.model.hic_scaffold_4_pilon.1289, Dcor_evm.model.hic_scaffold_31_pilon.14, Dcor_evm.model.hic_scaffold_68_pilon.24	Liom_evm.model.scaffold35259.1
OG0000007	Dcor_evm.model.WTDall_ctg631.2	Liom_evm.model.scaffold22483.4, Liom_evm.model.scaffold28377.1
OG0000007	Dcor_evm.model.WTDall_ctg334.1	Liom_evm.model.scaffold40738.2
OG0000008	Dcor_evm.model.hic_scaffold_5_pilon.445, Dcor_evm.model.hic_scaffold_3_pilon.393, Dcor_evm.model.hic_scaffold_3_pilon.392	Liom_evm.model.scaffold08670.1, Liom_evm.model.scaffold44811.3, Liom_evm.model.scaffold38522.1
OG0000008	Dcor_evm.model.hic_scaffold_1_pilon.659, Dcor_evm.model.hic_scaffold_3_pilon.380	Liom_evm.model.scaffold19180.2
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.193, Dcor_evm.model.hic_scaffold_9_pilon.669, Dcor_evm.model.hic_scaffold_3_pilon.1071	Liom_evm.model.scaffold19180.1
OG0000008	Dcor_evm.model.hic_scaffold_3_pilon.395	Liom_evm.model.scaffold44811.2, Liom_evm.model.scaffold04822.1
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.1052	Liom_evm.model.scaffold08724.1
OG0000008	Dcor_evm.model.hic_scaffold_4_pilon.949, Dcor_evm.model.hic_scaffold_4_pilon.946, Dcor_evm.model.hic_scaffold_4_pilon.951, Dcor_evm.model.hic_scaffold_4_pilon.947, Dcor_evm.model.hic_scaffold_4_pilon.943, Dcor_evm.model.hic_scaffold_4_pilon.945, Dcor_evm.model.hic_scaffold_4_pilon.944, Dcor_evm.model.hic_scaffold_4_pilon.942	Liom_evm.model.scaffold08724.2
OG0000008	Dcor_evm.model.hic_scaffold_9_pilon.73	Liom_evm.model.scaffold05934.1, Liom_evm.model.scaffold33821.1
OG0000008	Dcor_evm.model.hic_scaffold_3_pilon.1226	Liom_evm.model.scaffold44811.4, Liom_evm.model.scaffold08969.1
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.290, Dcor_evm.model.hic_scaffold_10_pilon.289	Liom_evm.model.scaffold55118.2
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.292	Liom_evm.model.scaffold55118.1
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.298, Dcor_evm.model.hic_scaffold_10_pilon.300, Dcor_evm.model.hic_scaffold_10_pilon.299, Dcor_evm.model.hic_scaffold_10_pilon.296, Dcor_evm.model.hic_scaffold_10_pilon.297, Dcor_evm.model.hic_scaffold_10_pilon.301, Dcor_evm.model.hic_scaffold_9_pilon.1616, Dcor_evm.model.hic_scaffold_10_pilon.294, Dcor_evm.model.hic_scaffold_10_pilon.293	Liom_evm.model.scaffold22483.1, Liom_evm.model.scaffold21075.1, Liom_evm.model.scaffold23527.1
OG0000008	Dcor_evm.model.hic_scaffold_10_pilon.295, Dcor_evm.model.hic_scaffold_10_pilon.306	Liom_evm.model.scaffold14370.1
OG0000009	Dcor_evm.model.hic_scaffold_5_pilon.33	Liom_evm.model.scaffold26255.1
OG0000009	Dcor_evm.model.hic_scaffold_1_pilon.861	Liom_evm.model.scaffold58661.1, Liom_evm.model.scaffold29219.4
OG0000009	Dcor_evm.model.hic_scaffold_1_pilon.860	Liom_evm.model.scaffold41438.1, Liom_evm.model.scaffold29219.3
OG0000009	Dcor_evm.model.hic_scaffold_1_pilon.862	Liom_evm.model.scaffold59725.1
OG0000009	Dcor_evm.model.hic_scaffold_1_pilon.863	Liom_evm.model.scaffold42001.2
OG0000009	Dcor_evm.model.scaffold1327_size1786.1	Liom_evm.model.scaffold26481.1
OG0000009	Dcor_evm.model.hic_scaffold_5_pilon.339	Liom_evm.model.scaffold51114.1
OG0000009	Dcor_evm.model.scaffold2479_size1422.1	Liom_evm.model.scaffold00040.1
OG0000009	Dcor_evm.model.hic_scaffold_2_pilon.335	Liom_evm.model.scaffold39198.1
OG0000009	Dcor_evm.model.hic_scaffold_6_pilon.1418	Liom_evm.model.scaffold59102.1, Liom_evm.model.scaffold59102.2
OG0000009	Dcor_evm.model.hic_scaffold_10_pilon.238	Liom_evm.model.scaffold20376.1
OG0000009	Dcor_evm.model.hic_scaffold_6_pilon.1778	Liom_evm.model.scaffold32590.1
OG0000009	Dcor_evm.model.scaffold1853_size1519.1, Dcor_evm.model.scaffold6608_size1035.1	Liom_evm.model.scaffold20376.2, Liom_evm.model.scaffold41322.2, Liom_evm.model.scaffold04478.1, Liom_evm.model.scaffold11969.1, Liom_evm.model.scaffold36666.1, Liom_evm.model.scaffold02844.2, Liom_evm.model.scaffold05397.1, Liom_evm.model.scaffold37920.1, Liom_evm.model.scaffold45276.1, Liom_evm.model.scaffold04187.1, Liom_evm.model.scaffold42001.1
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.72	Liom_evm.model.scaffold02195.1
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.655	Liom_evm.model.scaffold02195.2, Liom_evm.model.scaffold28831.1
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.135	Liom_evm.model.scaffold33265.2
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.76	Liom_evm.model.scaffold26181.4
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.75	Liom_evm.model.scaffold26181.2
OG0000010	Dcor_evm.model.hic_scaffold_13_pilon.44, Dcor_evm.model.hic_scaffold_9_pilon.620, Dcor_evm.model.hic_scaffold_14_pilon.61, Dcor_evm.model.hic_scaffold_9_pilon.431	Liom_evm.model.scaffold05356.1
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.569	Liom_evm.model.scaffold35819.2
OG0000010	Dcor_evm.model.hic_scaffold_5_pilon.701	Liom_evm.model.scaffold01931.2
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.571	Liom_evm.model.scaffold06526.3
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.137	Liom_evm.model.scaffold06048.7
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.136	Liom_evm.model.scaffold06048.8
OG0000010	Dcor_evm.model.hic_scaffold_10_pilon.570	Liom_evm.model.scaffold06526.2, Liom_evm.model.scaffold42490.1
OG0000011	Dcor_evm.model.hic_scaffold_30_pilon.18, Dcor_evm.model.hic_scaffold_33_pilon.16	Liom_evm.model.scaffold04289.1, Liom_evm.model.scaffold05453.4, Liom_evm.model.scaffold04854.1, Liom_evm.model.scaffold37775.4
OG0000011	Dcor_evm.model.hic_scaffold_30_pilon.19	Liom_evm.model.scaffold08650.1, Liom_evm.model.scaffold12853.1
OG0000011	Dcor_evm.model.hic_scaffold_1_pilon.1135	Liom_evm.model.scaffold12231.2, Liom_evm.model.scaffold26998.1
OG0000011	Dcor_evm.model.hic_scaffold_23_pilon.1	Liom_evm.model.scaffold60810.1, Liom_evm.model.scaffold51860.1, Liom_evm.model.scaffold38059.1, Liom_evm.model.scaffold06952.1, Liom_evm.model.scaffold12120.1, Liom_evm.model.scaffold04169.1, Liom_evm.model.scaffold01411.3, Liom_evm.model.scaffold18896.1, Liom_evm.model.scaffold57997.1, Liom_evm.model.scaffold53353.1, Liom_evm.model.scaffold13587.1, Liom_evm.model.scaffold50450.1, Liom_evm.model.scaffold12298.2, Liom_evm.model.scaffold21585.1, Liom_evm.model.scaffold51439.1, Liom_evm.model.scaffold44867.1, Liom_evm.model.scaffold57127.1, Liom_evm.model.scaffold12231.3, Liom_evm.model.scaffold51505.1, Liom_evm.model.scaffold28436.2, Liom_evm.model.scaffold22377.1, Liom_evm.model.scaffold01665.1, Liom_evm.model.scaffold06976.1, Liom_evm.model.scaffold54138.1, Liom_evm.model.scaffold39636.3, Liom_evm.model.scaffold18286.2, Liom_evm.model.scaffold60731.1, Liom_evm.model.scaffold21728.1, Liom_evm.model.scaffold02138.1, Liom_evm.model.scaffold25902.6, Liom_evm.model.scaffold07475.1, Liom_evm.model.scaffold38374.1, Liom_evm.model.scaffold33893.1, Liom_evm.model.scaffold54138.2, Liom_evm.model.scaffold18861.1, Liom_evm.model.scaffold23873.5, Liom_evm.model.scaffold27583.1, Liom_evm.model.scaffold23675.1, Liom_evm.model.scaffold37523.1, Liom_evm.model.scaffold03641.1, Liom_evm.model.scaffold26545.4, Liom_evm.model.scaffold32170.2, Liom_evm.model.scaffold30135.3, Liom_evm.model.scaffold33843.1, Liom_evm.model.scaffold09707.2, Liom_evm.model.scaffold23717.1, Liom_evm.model.scaffold15538.2, Liom_evm.model.scaffold35093.1, Liom_evm.model.scaffold09259.1, Liom_evm.model.scaffold47183.1, Liom_evm.model.scaffold37775.2, Liom_evm.model.scaffold56286.5, Liom_evm.model.scaffold16815.1, Liom_evm.model.scaffold00128.2, Liom_evm.model.scaffold47085.2, Liom_evm.model.scaffold34705.1, Liom_evm.model.scaffold04390.1, Liom_evm.model.scaffold42153.1, Liom_evm.model.scaffold51005.1, Liom_evm.model.scaffold55957.1, Liom_evm.model.scaffold20934.2, Liom_evm.model.scaffold35234.1, Liom_evm.model.scaffold40275.1, Liom_evm.model.scaffold05036.2, Liom_evm.model.scaffold51943.1, Liom_evm.model.scaffold41274.1, Liom_evm.model.scaffold37775.3, Liom_evm.model.scaffold15538.1, Liom_evm.model.scaffold01757.1, Liom_evm.model.scaffold27141.1, Liom_evm.model.scaffold52245.1, Liom_evm.model.scaffold38221.3
OG0000013	Dcor_evm.model.hic_scaffold_38_pilon.2	Liom_evm.model.scaffold04194.3
OG0000014	Dcor_evm.model.hic_scaffold_35_pilon.1	Liom_evm.model.scaffold14358.4
OG0000014	Dcor_evm.model.hic_scaffold_3_pilon.1521, Dcor_evm.model.hic_scaffold_51_pilon.3	Liom_evm.model.scaffold48143.2
OG0000014	Dcor_evm.model.hic_scaffold_21_pilon.25	Liom_evm.model.scaffold19574.3, Liom_evm.model.scaffold33599.1
OG0000014	Dcor_evm.model.WTDall_ctg256.3	Liom_evm.model.scaffold34032.1, Liom_evm.model.scaffold13848.4
OG0000014	Dcor_evm.model.hic_scaffold_1_pilon.452, Dcor_evm.model.hic_scaffold_36_pilon.4, Dcor_evm.model.hic_scaffold_5_pilon.633, Dcor_evm.model.hic_scaffold_2_pilon.336	Liom_evm.model.scaffold09256.1
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.176	Liom_evm.model.scaffold55822.1
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.26	Liom_evm.model.scaffold01745.1, Liom_evm.model.scaffold24920.1, Liom_evm.model.scaffold30118.1
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.555	Liom_evm.model.scaffold33513.2, Liom_evm.model.scaffold34399.1
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.498	Liom_evm.model.scaffold34103.1, Liom_evm.model.scaffold06749.1, Liom_evm.model.scaffold02819.1
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.470, Dcor_evm.model.hic_scaffold_7_pilon.469	Liom_evm.model.scaffold15595.2, Liom_evm.model.scaffold15595.1, Liom_evm.model.scaffold57130.1
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.467	Liom_evm.model.scaffold06285.2
OG0000015	Dcor_evm.model.hic_scaffold_5_pilon.774	Liom_evm.model.scaffold28796.1
OG0000015	Dcor_evm.model.hic_scaffold_5_pilon.771, Dcor_evm.model.hic_scaffold_5_pilon.773, Dcor_evm.model.scaffold3015_size1358.1	Liom_evm.model.scaffold45618.1
OG0000015	Dcor_evm.model.hic_scaffold_25_pilon.34	Liom_evm.model.scaffold25157.1
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.25	Liom_evm.model.scaffold56962.1, Liom_evm.model.scaffold30043.1
OG0000016	Dcor_evm.model.hic_scaffold_30_pilon.11	Liom_evm.model.scaffold01909.1, Liom_evm.model.scaffold48169.1
OG0000017	Dcor_evm.model.hic_scaffold_5_pilon.953	Liom_evm.model.scaffold53611.1, Liom_evm.model.scaffold16827.1, Liom_evm.model.scaffold31373.2, Liom_evm.model.scaffold33270.1, Liom_evm.model.scaffold44616.1, Liom_evm.model.scaffold60365.1, Liom_evm.model.scaffold09652.1, Liom_evm.model.scaffold26404.1, Liom_evm.model.scaffold09109.2
OG0000017	Dcor_evm.model.hic_scaffold_10_pilon.450	Liom_evm.model.scaffold07111.1, Liom_evm.model.scaffold06232.1
OG0000017	Dcor_evm.model.scaffold6005_size1075.1, Dcor_evm.model.hic_scaffold_10_pilon.1116, Dcor_evm.model.hic_scaffold_10_pilon.1115	Liom_evm.model.scaffold45003.1, Liom_evm.model.scaffold48854.2, Liom_evm.model.scaffold54540.1, Liom_evm.model.scaffold23278.1, Liom_evm.model.scaffold56399.1, Liom_evm.model.scaffold26711.1, Liom_evm.model.scaffold43740.1, Liom_evm.model.scaffold25454.1, Liom_evm.model.scaffold24241.1, Liom_evm.model.scaffold54535.1, Liom_evm.model.scaffold09716.1, Liom_evm.model.scaffold04049.1, Liom_evm.model.scaffold15444.1, Liom_evm.model.scaffold17977.1
OG0000017	Dcor_evm.model.hic_scaffold_10_pilon.449	Liom_evm.model.scaffold16891.1, Liom_evm.model.scaffold28942.3, Liom_evm.model.scaffold03752.1, Liom_evm.model.scaffold14053.2, Liom_evm.model.scaffold48852.1, Liom_evm.model.scaffold28521.4, Liom_evm.model.scaffold35722.1, Liom_evm.model.scaffold30109.2, Liom_evm.model.scaffold56816.2, Liom_evm.model.scaffold61078.2, Liom_evm.model.scaffold00043.1, Liom_evm.model.scaffold22601.1, Liom_evm.model.scaffold48604.1, Liom_evm.model.scaffold40920.1, Liom_evm.model.scaffold58864.1, Liom_evm.model.scaffold56816.1, Liom_evm.model.scaffold00043.2, Liom_evm.model.scaffold44424.1, Liom_evm.model.scaffold35598.1, Liom_evm.model.scaffold00039.2, Liom_evm.model.scaffold16699.1, Liom_evm.model.scaffold13707.1, Liom_evm.model.scaffold29244.2, Liom_evm.model.scaffold06386.2, Liom_evm.model.scaffold42798.1, Liom_evm.model.scaffold57252.2, Liom_evm.model.scaffold57252.1, Liom_evm.model.scaffold52758.1, Liom_evm.model.scaffold41654.1
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.592	Liom_evm.model.scaffold32184.1, Liom_evm.model.scaffold16845.1
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.596	Liom_evm.model.scaffold11759.2
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.590	Liom_evm.model.scaffold58749.1, Liom_evm.model.scaffold06916.1
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.597	Liom_evm.model.scaffold39219.2
OG0000018	Dcor_evm.model.hic_scaffold_4_pilon.559	Liom_evm.model.scaffold49355.1, Liom_evm.model.scaffold52237.2
OG0000018	Dcor_evm.model.hic_scaffold_4_pilon.537	Liom_evm.model.scaffold56404.1
