Geneid	Length	22784	23406	H13	H14	22783	23386	23404	H11	H12	22785
Hol_evm.model.scaffold00042.9	1323	9	10	86	124	30	0	35	33	567	65
Hol_evm.model.scaffold00043.4	275	16	0	13	2	0	0	8	6	11	4
Hol_evm.model.scaffold00043.1	226	19	0	8	0	1	0	3	9	10	6
Hol_evm.model.scaffold00043.2	240	70	36	3	0	1	0	9	1	1	0
Hol_evm.model.scaffold00043.3	273	0	0	0	0	1	0	0	0	0	0
Hol_evm.model.scaffold00044.1	274	11	19	2	9	32	0	53	16	65	39
Hol_evm.model.scaffold00045.1	954	300	242	1533	2032	158	2564	286	6	6	140
Hol_evm.model.scaffold00045.2	468	0	1	1	0	4	0	2	6	0	0
Hol_evm.model.scaffold00045.3	1233	0	3	0	18	6	0	1	23	18	1
Hol_evm.model.scaffold00045.4	1176	2	2	2	0	16	0	2	20	8	11
Hol_evm.model.scaffold00045.5	1389	868	807	1035	4051	362	0	602	7436	2478	1856
Hol_evm.model.scaffold00045.6	702	1643	645	2595	4821	470	0	1526	3169	7591	3898
Hol_evm.model.scaffold00045.7	918	1050	587	1569	3591	270	43	1101	446	1387	2630
Hol_evm.model.scaffold00045.8	6678	577	120	322	783	177	2	507	502	635	635
Hol_evm.model.scaffold00045.9	882	259	113	260	290	20	0	125	13	583	361
Hol_evm.model.scaffold00045.10	1674	255	212	868	465	131	0	529	352	185	1684
Hol_evm.model.scaffold00045.11	1398	2096	2448	1376	578	483	2551	2439	926	2349	528
Hol_evm.model.scaffold00045.12	453	2598	1116	4813	5771	591	17	1679	2292	4934	1068
Hol_evm.model.scaffold00045.13	1359	2023	437	5576	5590	378	3	428	529	1882	170
Hol_evm.model.scaffold00045.14	1311	506	129	474	458	139	12778	344	1058	1212	917
Hol_evm.model.scaffold00045.15	1074	612	87	400	85	53	0	182	95	198	118
Hol_evm.model.scaffold00045.16	474	829	127	488	527	336	0	263	56	894	119
Hol_evm.model.scaffold00047.1	740	10	5	5	24	12	0	6	61	75	21
Hol_evm.model.scaffold00048.1	444	73	40	30	5	18	0	40	9	14	96
Hol_evm.model.scaffold00048.2	2031	642	84	437	332	82	0	594	56	587	2543
Hol_evm.model.scaffold00048.3	1209	420	305	701	718	228	0	299	48	2168	1434
Hol_evm.model.scaffold00048.4	1395	331	171	254	822	237	0	351	181	63	3094
Hol_evm.model.scaffold00048.5	2439	288	307	241	2	89	0	184	19	26	1997
Hol_evm.model.scaffold00050.1	1017	1	0	0	2	0	0	0	9	4	0
Hol_evm.model.scaffold00050.2	6474	12	0	0	43	10	0	2	147	121	1
Hol_evm.model.scaffold00051.1	290	6	0	0	0	1	0	6	42	6	0
Hol_evm.model.scaffold00053.1	1422	45	1	10	11	8	0	187	14	12	18
Hol_evm.model.scaffold00053.2	354	1	1	0	1	10	0	1	1	0	2
Hol_evm.model.scaffold00056.1	3894	403	34	320	750	313	0	429	209	551	1205
Hol_evm.model.scaffold00056.2	2850	3	3	8	6	10	0	7	22	45	7
Hol_evm.model.scaffold00056.3	1470	154	5	25	106	81	0	50	15	8	2
Hol_evm.model.scaffold00056.4	3342	84	213	200	15	31	1	179	63	32	9
Hol_evm.model.scaffold00056.5	1884	918	574	498	470	179	0	310	171	12	3734
Hol_evm.model.scaffold00058.1	320	0	0	1	0	2	0	1	124	10	0
Hol_evm.model.scaffold00061.3	259	22	1	0	2	4	0	0	17	4	2
Hol_evm.model.scaffold00061.4	226	4	11	0	0	2	0	9	1	0	4
Hol_evm.model.scaffold00061.1	510	2	47	0	35	12	0	14	2	2	10
Hol_evm.model.scaffold00061.2	423	23	18	2	9	4	0	14	11	33	1
Hol_evm.model.scaffold00064.1	693	40	0	0	6	2	0	1	18	6	1
Hol_evm.model.scaffold00066.1	1593	15	7	10	51	17	0	2	99	129	10
Hol_evm.model.scaffold00066.2	1191	203	3	278	25	73	0	17	246	456	175
Hol_evm.model.scaffold00066.3	492	9	22	0	0	5	0	13	6	0	27
Hol_evm.model.scaffold00066.4	216	10	0	9	3	1	0	2	3	6	12
Hol_evm.model.scaffold00066.5	474	26	5	18	0	5	0	16	9	4	85
Hol_evm.model.scaffold00066.6	711	28	4	19	27	5	0	4	31	33	45
Hol_evm.model.scaffold00069.1	432	760	472	1236	1059	302	631	612	332	1284	340
Hol_evm.model.scaffold00072.5	188	6	1	2	1	1	0	0	4	2	2
Hol_evm.model.scaffold00072.1	1209	636	282	398	528	272	0	647	321	778	1701
Hol_evm.model.scaffold00072.2	1062	2642	1132	2372	3150	350	4271	1200	1602	3359	12088
Hol_evm.model.scaffold00072.3	408	253	128	228	319	141	621	272	189	181	1000
Hol_evm.model.scaffold00072.4	714	1338	809	3167	2466	81	0	743	458	638	1615
Hol_evm.model.scaffold00074.1	1308	1	2	0	6	3	0	2	3	7	2
Hol_evm.model.scaffold00074.2	1437	3	44	1	12	7	0	4	24	41	50
Hol_evm.model.scaffold00074.3	345	2	2	0	0	43	0	10	7	5	11
Hol_evm.model.scaffold00074.4	1770	4	7	2	7	15	0	12	14	15	302
Hol_evm.model.scaffold00074.5	270	0	0	0	1	9	0	0	6	0	5
Hol_evm.model.scaffold00074.6	432	0	1	0	0	6	0	0	1	4	11
Hol_evm.model.scaffold00074.7	423	2	3	10	3	5	0	1	9	38	56
Hol_evm.model.scaffold00074.8	591	12	20	354	42	150	45	389	3790	1760	236
Hol_evm.model.scaffold00074.9	429	1	3	2	16	8	0	1	51	79	29
Hol_evm.model.scaffold00074.10	417	3	1	0	7	9	0	0	16	8	12
Hol_evm.model.scaffold00074.11	432	3	2	0	3	7	0	1	20	13	8
Hol_evm.model.scaffold00074.12	435	0	1	0	2	6	0	2	3	1	17
Hol_evm.model.scaffold00074.13	432	2	2	4	11	20	0	2	16	18	13
Hol_evm.model.scaffold00081.1	213	1	1	0	1	2	0	2	4	6	1
Hol_evm.model.scaffold00083.1	249	27	44	19	16	6	0	13	30	56	22
Hol_evm.model.scaffold00084.1	889	4	3	0	9	7	0	1	7	3	18
Hol_evm.model.scaffold00085.1	474	1105	1331	823	1610	326	1702	471	63	548	2637
Hol_evm.model.scaffold00085.2	1404	569	840	562	326	51	0	449	86	432	755
Hol_evm.model.scaffold00085.3	1137	269	292	508	107	81	0	272	100	17	1172
Hol_evm.model.scaffold00085.4	993	618	193	412	255	115	0	428	36	68	3941
Hol_evm.model.scaffold00085.5	3720	51	405	153	18	153	0	73	23	190	34
Hol_evm.model.scaffold00085.6	645	931	169	1176	2033	176	4399	779	1401	1225	779
Hol_evm.model.scaffold00085.7	1938	122	2092	745	433	165	4	2096	111	311	239
Hol_evm.model.scaffold00085.8	336	0	24	2	16	5	0	121	22	2	0
Hol_evm.model.scaffold00085.9	1935	473	281	518	653	60	236	204	65	179	1754
Hol_evm.model.scaffold00085.10	393	512	204	544	934	260	0	446	1220	890	1059
Hol_evm.model.scaffold00085.11	600	717	200	485	1038	347	0	717	1498	2469	1002
Hol_evm.model.scaffold00085.12	648	25	2	28	158	63	0	57	323	623	187
Hol_evm.model.scaffold00085.13	843	447	161	900	1697	190	0	443	1894	4146	855
Hol_evm.model.scaffold00085.14	1146	3	2	0	2	37	0	4	14	4	2
Hol_evm.model.scaffold00085.15	252	1	0	0	2	24	0	10	5	6	1
Hol_evm.model.scaffold00090.1	708	4	1	0	0	236	0	0	12	0	3
Hol_evm.model.scaffold00091.1	349	3	0	0	2	1	0	1	7	13	4
Hol_evm.model.scaffold00093.1	223	9	2	4	14	5	0	4	45	22	4
Hol_evm.model.scaffold00093.2	588	0	2	0	0	2	0	1	11	5	0
Hol_evm.model.scaffold00095.1	237	7	3	0	1	9	0	1	7	8	1
Hol_evm.model.scaffold00096.1	1106	30	3	0	14	24	0	2	21	16	9
Hol_evm.model.scaffold00098.1	534	0	0	0	0	0	0	0	0	0	0
Hol_evm.model.scaffold00099.1	831	1	1	0	3	14	0	1	26	8	9
Hol_evm.model.scaffold00100.1	2070	2208	720	5130	2696	811	1855	1496	1507	1291	3071
Hol_evm.model.scaffold00100.2	987	14	1	0	1	6	0	0	31	18	2464
Hol_evm.model.scaffold00100.3	789	1673	417	1067	1736	97	0	881	1071	1164	4404
Hol_evm.model.scaffold00105.1	469	0	4	8	0	19	0	1	18	17	5
Hol_evm.model.scaffold00106.1	801	8	1	0	2	1	0	1	0	2	1
Hol_evm.model.scaffold00106.2	768	1	51	4	4	899	0	12	10	10	0
Hol_evm.model.scaffold00106.3	774	1	39	0	8	389	0	28	6	13	2
Hol_evm.model.scaffold00106.4	738	3	1	0	0	4	0	0	11	9	2
Hol_evm.model.scaffold00114.1	1509	2628	1858	3283	3223	855	0	1238	1194	325	23
Hol_evm.model.scaffold00114.2	273	87	85	39	66	7	0	28	46	72	10
Hol_evm.model.scaffold00114.3	813	1	0	0	8	5	0	0	13	8	4
Hol_evm.model.scaffold00114.4	2382	1124	413	517	1408	246	2524	727	894	2748	2127
Hol_evm.model.scaffold00114.5	1545	194	29	379	94	71	128	91	191	345	256
Hol_evm.model.scaffold00114.6	273	491	57	382	157	4	3269	321	76	290	638
Hol_evm.model.scaffold00114.7	3921	2111	798	2242	1409	1252	18765	2100	782	2901	2859
Hol_evm.model.scaffold00114.8	2631	564	121	285	276	165	0	126	32	9	78
Hol_evm.model.scaffold00114.9	717	2	25	0	6	126	0	16	7	7	36
Hol_evm.model.scaffold00114.10	1437	3604	1579	2885	3160	910	4246	2754	1213	4061	4821
Hol_evm.model.scaffold00114.11	1134	182	41	99	72	110	0	87	168	392	11146
Hol_evm.model.scaffold00114.12	1806	520	214	286	1415	145	0	449	1729	756	6230
Hol_evm.model.scaffold00114.13	5844	2420	229	1636	986	951	0	751	392	1488	1286
Hol_evm.model.scaffold00114.14	1464	477	150	569	182	123	44	184	448	953	2377
Hol_evm.model.scaffold00114.15	624	850	290	340	838	325	111	576	1798	1287	1616
Hol_evm.model.scaffold00114.16	1191	290	134	626	253	50	0	194	89	1187	525
Hol_evm.model.scaffold00114.17	954	879	434	651	994	272	899	704	1142	1322	4364
Hol_evm.model.scaffold00114.18	663	3	29	0	4	78	0	2	2	11	2
Hol_evm.model.scaffold00114.19	909	702	553	628	1165	203	0	510	104	639	3526
Hol_evm.model.scaffold00115.1	216	0	1	0	0	1	0	0	0	0	33
Hol_evm.model.scaffold00115.2	225	11	0	0	7	2	0	1	5	0	0
Hol_evm.model.scaffold00115.3	1452	0	1	1	4	7	0	3	12	2	2
Hol_evm.model.scaffold00115.4	3852	1277	447	758	389	338	0	931	1551	2237	4683
Hol_evm.model.scaffold00115.5	1962	333	87	332	36	214	0	116	652	226	1178
Hol_evm.model.scaffold00117.1	675	2	1	2	4	9	0	3	14	24	22
Hol_evm.model.scaffold00118.1	185	0	0	0	0	0	0	0	6	0	0
Hol_evm.model.scaffold00120.1	663	0	0	1	0	4	0	0	5	2	0
Hol_evm.model.scaffold00120.2	972	136	133	85	245	43	0	278	435	771	751
Hol_evm.model.scaffold00120.3	3990	547	374	893	1217	238	5	528	607	736	934
Hol_evm.model.scaffold00120.4	297	7	1	0	2	2	0	9	2	2	11
Hol_evm.model.scaffold00122.1	207	81	112	111	95	140	139	156	291	425	345
Hol_evm.model.scaffold00123.1	250	240	118	56	3	58	0	92	18	5	320
Hol_evm.model.scaffold00123.2	357	6	17	0	8	38	0	6	5	4	4
Hol_evm.model.scaffold00123.3	471	254	181	212	1	39	0	82	7	120	436
Hol_evm.model.scaffold00123.4	1506	1298	611	1048	759	311	0	680	294	1520	1824
Hol_evm.model.scaffold00123.5	813	327	153	659	1556	144	0	413	728	273	674
Hol_evm.model.scaffold00123.6	432	0	0	0	0	3	0	2	2	10	16
Hol_evm.model.scaffold00123.7	426	14	2	10	0	3	0	1	5	2	16
Hol_evm.model.scaffold00123.8	2343	3778	360	3788	2119	303	4	551	618	4636	393
Hol_evm.model.scaffold00123.9	2160	1238	717	1315	1255	172	7911	1089	756	1185	1399
Hol_evm.model.scaffold00123.10	531	1263	476	2123	1828	134	1	1139	1862	2989	1239
Hol_evm.model.scaffold00126.1	1677	253	64	48	12	117	0	13	34	525	284
Hol_evm.model.scaffold00126.2	219	70	17	28	18	78	0	12	6	180	94
Hol_evm.model.scaffold00126.3	843	1554	860	1056	3177	474	636	1640	1391	3557	3171
Hol_evm.model.scaffold00126.4	3135	1731	1656	1288	3411	951	0	2544	938	2800	3708
Hol_evm.model.scaffold00126.5	1122	497	316	414	1447	219	0	306	515	205	354
Hol_evm.model.scaffold00126.6	3420	291	259	316	340	132	0	333	782	651	967
Hol_evm.model.scaffold00126.7	726	775	216	789	482	278	3949	931	279	907	250
Hol_evm.model.scaffold00126.8	879	546	258	253	464	91	7192	472	861	1321	2177
Hol_evm.model.scaffold00126.9	405	2192	902	2009	2553	1974	246	1866	2653	5138	1906
Hol_evm.model.scaffold00126.10	465	10604	2960	16986	12374	5500	2189	18608	14935	40570	5724
Hol_evm.model.scaffold00126.11	924	158	2	69	186	10	0	45	41	75	153
Hol_evm.model.scaffold00126.12	3243	1311	372	1753	930	418	0	385	359	284	1680
Hol_evm.model.scaffold00126.13	2997	1650	712	1338	2428	498	1	1304	417	3596	1824
Hol_evm.model.scaffold00126.14	1026	406	227	937	785	151	0	390	832	611	1001
Hol_evm.model.scaffold00130.1	944	309	190	70	279	147	0	145	569	61	767
Hol_evm.model.scaffold00130.2	2574	482	174	288	20	55	0	137	105	30	94
Hol_evm.model.scaffold00130.3	1725	191	75	151	312	239	0	140	214	69	305
Hol_evm.model.scaffold00137.1	1185	2	2	0	148	5	1	2	471	19	2
Hol_evm.model.scaffold00137.2	657	225	171	131	412	58	0	154	462	403	487
Hol_evm.model.scaffold00137.3	966	2	4	4	2	8	0	1	11	10	2
Hol_evm.model.scaffold00137.4	843	2217	706	2501	5123	1239	814	1415	4053	2756	4874
Hol_evm.model.scaffold00137.5	879	343	112	355	188	56	0	187	98	888	30
Hol_evm.model.scaffold00137.6	528	0	4	0	0	5	0	2	9	0	5
Hol_evm.model.scaffold00137.7	1497	283	270	86	351	242	9261	377	13	584	49
Hol_evm.model.scaffold00137.8	1515	312	13	132	19	124	1	100	267	45	39
Hol_evm.model.scaffold00137.9	1596	411	91	717	222	91	246	198	103	699	82
Hol_evm.model.scaffold00137.10	1047	4	13	7	18	6	0	80	0	0	36
Hol_evm.model.scaffold00137.11	2685	1655	704	2804	2651	707	1033	934	1381	1451	3147
Hol_evm.model.scaffold00137.12	3240	1269	859	1620	1874	446	594	927	2108	3985	1857
Hol_evm.model.scaffold00137.13	471	4780	3256	7525	8339	1910	3315	7062	10595	13526	3820
Hol_evm.model.scaffold00137.14	456	321	210	358	908	136	323	350	1421	944	205
Hol_evm.model.scaffold00137.15	3003	444	142	58	9	39	0	133	21	15	1020
Hol_evm.model.scaffold00137.16	1323	1066	515	1087	1623	210	7521	782	1030	173	3207
Hol_evm.model.scaffold00137.17	1011	215	54	52	104	58	0	39	138	96	260
Hol_evm.model.scaffold00137.18	1017	77	125	374	438	169	0	117	215	134	489
Hol_evm.model.scaffold00137.19	594	4	4	1	0	8	0	1	4	2	14
Hol_evm.model.scaffold00137.20	801	35	3	11	17	4	0	42	6	10	76
Hol_evm.model.scaffold00137.21	1359	158	2	98	590	90	0	181	58	42	273
Hol_evm.model.scaffold00137.22	1827	359	387	1246	2229	153	0	577	473	3565	1615
Hol_evm.model.scaffold00137.23	2019	202	258	707	270	95	0	509	106	55	1441
Hol_evm.model.scaffold00139.1	279	0	0	2	1	3	0	5	13	5	5
Hol_evm.model.scaffold00139.2	300	563	694	2489	799	76	515	484	164	621	28
Hol_evm.model.scaffold00142.1	1388	32	14	0	2	38	0	30	9	6	362
Hol_evm.model.scaffold00153.1	286	1	0	0	0	2	0	1	4	0	1
Hol_evm.model.scaffold00153.2	1422	1764	248	4103	4627	571	1	793	2016	2403	2243
Hol_evm.model.scaffold00154.1	255	7	2	7	3	4	0	0	9	11	4
Hol_evm.model.scaffold00156.1	519	4	1	1	8	2	0	1	18	11	20
Hol_evm.model.scaffold00156.2	669	0	2	3	11	3	0	3	33	25	11
Hol_evm.model.scaffold00157.1	537	129	71	301	381	35	0	271	521	226	409
Hol_evm.model.scaffold00157.2	939	59	34	42	269	8	0	87	16	120	609
Hol_evm.model.scaffold00157.3	1482	2	2	0	280	32	0	4	20	19	9
Hol_evm.model.scaffold00157.4	309	4	2	0	0	0	0	26	0	38	25
Hol_evm.model.scaffold00157.5	567	2566	675	1593	1877	164	517	1263	1029	2976	3177
Hol_evm.model.scaffold00157.6	735	474	57	467	357	259	1902	324	779	790	572
Hol_evm.model.scaffold00157.7	1005	315	136	221	473	42	0	252	376	729	1007
Hol_evm.model.scaffold00157.8	2682	81	125	41	6	258	0	64	17	12	15
Hol_evm.model.scaffold00157.9	1395	435	623	715	1063	604	1	544	1046	471	409
Hol_evm.model.scaffold00158.1	203	1	0	0	0	0	0	0	1	7	0
Hol_evm.model.scaffold00161.1	1023	4	4	4	10	8	0	2	19	15	12
Hol_evm.model.scaffold00161.2	360	141	80	123	289	46	0	50	135	28	1195
Hol_evm.model.scaffold00169.1	2952	326	49	296	126	267	0	176	146	50	337
Hol_evm.model.scaffold00169.2	1353	60	37	282	948	4	0	76	4443	4	97
Hol_evm.model.scaffold00169.3	2448	425	290	610	1040	249	683	279	409	449	1023
Hol_evm.model.scaffold00169.4	555	80	47	112	388	44	0	75	8	13	455
Hol_evm.model.scaffold00169.5	288	1179	187	939	2763	228	668	1020	1876	3020	893
Hol_evm.model.scaffold00169.6	3252	288	20	391	540	133	0	452	1693	552	670
Hol_evm.model.scaffold00169.7	1971	1209	107	628	1896	270	0	556	619	2643	1775
Hol_evm.model.scaffold00174.1	399	2	1	0	0	2	0	0	1	4	0
Hol_evm.model.scaffold00174.2	210	1	0	0	0	0	0	1	1	0	0
Hol_evm.model.scaffold00174.3	276	0	0	0	1	0	0	0	1	12	1
Hol_evm.model.scaffold00174.4	360	5	1	4	9	5	0	1	57	84	4
Hol_evm.model.scaffold00176.1	441	3	3	0	29	10	0	2	12	2	1
Hol_evm.model.scaffold00177.1	2832	756	630	2003	2298	514	0	521	1206	202	1111
Hol_evm.model.scaffold00179.5	246	0	0	2	1	0	0	0	1	6	0
Hol_evm.model.scaffold00179.6	180	0	0	0	0	1	0	0	0	0	0
Hol_evm.model.scaffold00179.1	189	0	0	0	0	1	0	0	0	0	4
Hol_evm.model.scaffold00179.2	594	0	1	12	0	18	0	17	0	21	89
Hol_evm.model.scaffold00179.3	555	8965	17105	9213	8999	1316	1	3421	357	575	216
Hol_evm.model.scaffold00179.4	1557	42302	57891	56096	59205	12681	12058	15096	6268	27208	4372
Hol_evm.model.scaffold00179.7	209	0	2	0	3	1	0	0	3	0	0
Hol_evm.model.scaffold00179.8	948	1	0	0	4	1	0	0	9	10	2
Hol_evm.model.scaffold00179.9	321	23	1	0	0	1	0	3	0	8	0
Hol_evm.model.scaffold00179.10	213	8	11	0	1	1	0	17	0	0	5
Hol_evm.model.scaffold00186.1	156	2	0	0	0	0	0	0	3	3	0
Hol_evm.model.scaffold00186.2	351	1	15	0	0	15	0	3	6	5	9
Hol_evm.model.scaffold00187.1	1557	4	4	2	6	2	0	1	18	23	0
Hol_evm.model.scaffold00189.1	301	2	1	0	4	5	0	3	5	4	1
Hol_evm.model.scaffold00196.1	5475	652	63	324	530	69	0	121	604	455	319
Hol_evm.model.scaffold00196.2	690	262	181	1003	1342	38	0	366	1662	1860	413
Hol_evm.model.scaffold00196.3	924	484	424	95	474	104	0	217	25	214	73
Hol_evm.model.scaffold00196.4	2127	10540	2826	2653	10670	675	2937	394	2782	1124	175
Hol_evm.model.scaffold00196.5	249	27	21	17	25	6	0	25	52	10	18
Hol_evm.model.scaffold00198.1	7763	654	211	1023	449	242	0	612	333	556	1110
Hol_evm.model.scaffold00198.2	351	2097	793	1181	8591	598	378	1566	4766	3452	443
Hol_evm.model.scaffold00208.1	708	536	248	206	208	157	2	562	1089	377	1273
Hol_evm.model.scaffold00208.2	2682	63	52	68	171	201	0	179	39	252	194
Hol_evm.model.scaffold00212.1	365	0	0	0	2	3	0	0	3	2	9
Hol_evm.model.scaffold00213.1	262	0	0	0	2	0	0	0	4	0	1
Hol_evm.model.scaffold00220.1	969	456	215	46	251	55	0	155	88	173	159
Hol_evm.model.scaffold00222.1	1320	3	0	0	0	9	0	9	8	4	2
