Orthogroup	Dalotia_update.aa	Holobus.aa
OG0000014	Dcor_evm.model.hic_scaffold_10_pilon.531, Dcor_evm.model.hic_scaffold_3_pilon.903	Hol_evm.model.scaffold12417.1, Hol_evm.model.scaffold00808.1, Hol_evm.model.scaffold06563.1
OG0000014	Dcor_evm.model.WTDall_ctg256.3	Hol_evm.model.scaffold09986.2, Hol_evm.model.scaffold11823.1
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.176	Hol_evm.model.scaffold05271.3
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.555	Hol_evm.model.scaffold14170.9
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.498	Hol_evm.model.scaffold07988.1
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.470, Dcor_evm.model.hic_scaffold_7_pilon.469	Hol_evm.model.scaffold05600.7
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.467, Dcor_evm.model.hic_scaffold_5_pilon.774, Dcor_evm.model.hic_scaffold_5_pilon.771, Dcor_evm.model.hic_scaffold_5_pilon.773, Dcor_evm.model.scaffold3015_size1358.1	Hol_evm.model.scaffold05600.6
OG0000015	Dcor_evm.model.hic_scaffold_25_pilon.34	Hol_evm.model.scaffold14460.3
OG0000015	Dcor_evm.model.hic_scaffold_7_pilon.25	Hol_evm.model.scaffold13840.4
OG0000016	Dcor_evm.model.hic_scaffold_30_pilon.10	Hol_evm.model.scaffold01702.3
OG0000016	Dcor_evm.model.hic_scaffold_46_pilon.7	Hol_evm.model.scaffold01702.2
OG0000017	Dcor_evm.model.hic_scaffold_10_pilon.388	Hol_evm.model.scaffold09240.1
OG0000017	Dcor_evm.model.hic_scaffold_10_pilon.450, Dcor_evm.model.hic_scaffold_10_pilon.454, Dcor_evm.model.hic_scaffold_10_pilon.455	Hol_evm.model.scaffold06388.1, Hol_evm.model.scaffold06388.2
OG0000017	Dcor_evm.model.hic_scaffold_10_pilon.449	Hol_evm.model.scaffold14839.1
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.592	Hol_evm.model.scaffold10364.8
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.596	Hol_evm.model.scaffold05931.1
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.590	Hol_evm.model.scaffold18467.1
OG0000018	Dcor_evm.model.hic_scaffold_4_pilon.559, Dcor_evm.model.hic_scaffold_4_pilon.537	Hol_evm.model.scaffold04750.2
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.896, Dcor_evm.model.hic_scaffold_10_pilon.899	Hol_evm.model.scaffold05556.7
OG0000018	Dcor_evm.model.hic_scaffold_10_pilon.901	Hol_evm.model.scaffold05556.8
OG0000019	Dcor_evm.model.hic_scaffold_5_pilon.568	Hol_evm.model.scaffold08831.1
OG0000019	Dcor_evm.model.hic_scaffold_4_pilon.638, Dcor_evm.model.hic_scaffold_4_pilon.636	Hol_evm.model.scaffold04745.5
OG0000019	Dcor_evm.model.hic_scaffold_3_pilon.1274, Dcor_evm.model.hic_scaffold_3_pilon.1275, Dcor_evm.model.hic_scaffold_9_pilon.1192	Hol_evm.model.scaffold04428.2
OG0000020	Dcor_evm.model.hic_scaffold_21_pilon.32	Hol_evm.model.scaffold16727.1
OG0000022	Dcor_evm.model.hic_scaffold_68_pilon.20, Dcor_evm.model.contig_119_pilon.3, Dcor_evm.model.hic_scaffold_68_pilon.37, Dcor_evm.model.hic_scaffold_8_pilon.868, Dcor_evm.model.hic_scaffold_5_pilon.437, Dcor_evm.model.hic_scaffold_9_pilon.980	Hol_evm.model.scaffold00446.1
OG0000022	Dcor_evm.model.hic_scaffold_5_pilon.436	Hol_evm.model.scaffold00924.1, Hol_evm.model.scaffold15332.1
OG0000023	Dcor_evm.model.hic_scaffold_9_pilon.1810	Hol_evm.model.scaffold00137.9, Hol_evm.model.scaffold00137.7, Hol_evm.model.scaffold07197.1, Hol_evm.model.scaffold00137.8, Hol_evm.model.scaffold04512.1
OG0000023	Dcor_evm.model.hic_scaffold_9_pilon.1147, Dcor_evm.model.hic_scaffold_24_pilon.1	Hol_evm.model.scaffold06642.4
OG0000023	Dcor_evm.model.hic_scaffold_4_pilon.157	Hol_evm.model.scaffold11854.1
OG0000023	Dcor_evm.model.hic_scaffold_5_pilon.1483, Dcor_evm.model.hic_scaffold_4_pilon.1097, Dcor_evm.model.hic_scaffold_5_pilon.1482	Hol_evm.model.scaffold08166.8
OG0000023	Dcor_evm.model.hic_scaffold_4_pilon.1096, Dcor_evm.model.hic_scaffold_5_pilon.1484	Hol_evm.model.scaffold08166.9
OG0000023	Dcor_evm.model.hic_scaffold_10_pilon.1414	Hol_evm.model.scaffold10174.2
OG0000025	Dcor_evm.model.hic_scaffold_21_pilon.36	Hol_evm.model.scaffold01305.1
OG0000025	Dcor_evm.model.hic_scaffold_54_pilon.5	Hol_evm.model.scaffold12762.2
OG0000025	Dcor_evm.model.hic_scaffold_3_pilon.900	Hol_evm.model.scaffold04002.1
OG0000026	Dcor_evm.model.hic_scaffold_4_pilon.458, Dcor_evm.model.hic_scaffold_4_pilon.457, Dcor_evm.model.hic_scaffold_10_pilon.275, Dcor_evm.model.hic_scaffold_7_pilon.955, Dcor_evm.model.hic_scaffold_4_pilon.459, Dcor_evm.model.hic_scaffold_4_pilon.422	Hol_evm.model.scaffold10880.1, Hol_evm.model.scaffold18381.1, Hol_evm.model.scaffold10880.2, Hol_evm.model.scaffold17295.1, Hol_evm.model.scaffold12699.1, Hol_evm.model.scaffold08557.1, Hol_evm.model.scaffold16749.1, Hol_evm.model.scaffold18381.2, Hol_evm.model.scaffold18820.4, Hol_evm.model.scaffold18820.3, Hol_evm.model.scaffold18820.2
OG0000026	Dcor_evm.model.hic_scaffold_4_pilon.456	Hol_evm.model.scaffold09140.1
OG0000026	Dcor_evm.model.hic_scaffold_4_pilon.893	Hol_evm.model.scaffold10825.5
OG0000026	Dcor_evm.model.hic_scaffold_1_pilon.268, Dcor_evm.model.hic_scaffold_1_pilon.267	Hol_evm.model.scaffold14433.3
OG0000027	Dcor_evm.model.hic_scaffold_25_pilon.7	Hol_evm.model.scaffold14796.1
OG0000029	Dcor_evm.model.hic_scaffold_7_pilon.1415	Hol_evm.model.scaffold07783.11
OG0000029	Dcor_evm.model.hic_scaffold_7_pilon.82	Hol_evm.model.scaffold11012.2
OG0000029	Dcor_evm.model.hic_scaffold_7_pilon.108	Hol_evm.model.scaffold15459.1
OG0000029	Dcor_evm.model.hic_scaffold_13_pilon.55, Dcor_evm.model.hic_scaffold_13_pilon.54	Hol_evm.model.scaffold05634.3
OG0000029	Dcor_evm.model.hic_scaffold_7_pilon.1430	Hol_evm.model.scaffold00531.3
OG0000029	Dcor_evm.model.hic_scaffold_7_pilon.231	Hol_evm.model.scaffold10828.1
OG0000029	Dcor_evm.model.hic_scaffold_4_pilon.930	Hol_evm.model.scaffold14170.13
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.20	Hol_evm.model.scaffold12750.4
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.544	Hol_evm.model.scaffold16182.3
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.18	Hol_evm.model.scaffold12750.3
OG0000030	Dcor_evm.model.hic_scaffold_9_pilon.1470, Dcor_evm.model.hic_scaffold_10_pilon.16	Hol_evm.model.scaffold12750.2
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.534, Dcor_evm.model.hic_scaffold_10_pilon.26, Dcor_evm.model.hic_scaffold_10_pilon.25	Hol_evm.model.scaffold07029.4, Hol_evm.model.scaffold03537.1
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.13	Hol_evm.model.scaffold03537.2
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.14	Hol_evm.model.scaffold03537.3
OG0000030	Dcor_evm.model.hic_scaffold_10_pilon.15	Hol_evm.model.scaffold03930.4
OG0000031	Dcor_evm.model.hic_scaffold_8_pilon.42, Dcor_evm.model.hic_scaffold_8_pilon.41	Hol_evm.model.scaffold03448.6
OG0000031	Dcor_evm.model.scaffold5253_size1137.1	Hol_evm.model.scaffold11550.1
OG0000031	Dcor_evm.model.hic_scaffold_10_pilon.418, Dcor_evm.model.hic_scaffold_2_pilon.27, Dcor_evm.model.hic_scaffold_10_pilon.419, Dcor_evm.model.hic_scaffold_10_pilon.470, Dcor_evm.model.hic_scaffold_10_pilon.471, Dcor_evm.model.hic_scaffold_10_pilon.469, Dcor_evm.model.hic_scaffold_10_pilon.467, Dcor_evm.model.hic_scaffold_10_pilon.468	Hol_evm.model.scaffold01464.6
OG0000032	Dcor_evm.model.hic_scaffold_9_pilon.1756, Dcor_evm.model.hic_scaffold_9_pilon.1753, Dcor_evm.model.hic_scaffold_9_pilon.1752, Dcor_evm.model.hic_scaffold_9_pilon.1749, Dcor_evm.model.hic_scaffold_9_pilon.1751	Hol_evm.model.scaffold17945.8, Hol_evm.model.scaffold18551.1
OG0000032	Dcor_evm.model.hic_scaffold_9_pilon.1697	Hol_evm.model.scaffold12294.3, Hol_evm.model.scaffold12294.2, Hol_evm.model.scaffold12294.1
OG0000032	Dcor_evm.model.hic_scaffold_9_pilon.1755	Hol_evm.model.scaffold18551.2
OG0000033	Dcor_evm.model.hic_scaffold_6_pilon.1016	Hol_evm.model.scaffold05912.2
OG0000035	Dcor_evm.model.hic_scaffold_5_pilon.1184, Dcor_evm.model.hic_scaffold_5_pilon.1183, Dcor_evm.model.hic_scaffold_5_pilon.1185	Hol_evm.model.scaffold07625.2, Hol_evm.model.scaffold07625.3
OG0000035	Dcor_evm.model.hic_scaffold_5_pilon.1096	Hol_evm.model.scaffold04066.3
OG0000035	Dcor_evm.model.hic_scaffold_5_pilon.164	Hol_evm.model.scaffold04259.1
OG0000035	Dcor_evm.model.hic_scaffold_3_pilon.1147, Dcor_evm.model.hic_scaffold_3_pilon.1146, Dcor_evm.model.hic_scaffold_3_pilon.1145, Dcor_evm.model.hic_scaffold_3_pilon.1144, Dcor_evm.model.hic_scaffold_3_pilon.1142, Dcor_evm.model.hic_scaffold_3_pilon.1141, Dcor_evm.model.hic_scaffold_3_pilon.1143, Dcor_evm.model.hic_scaffold_3_pilon.1140, Dcor_evm.model.hic_scaffold_3_pilon.1138, Dcor_evm.model.hic_scaffold_3_pilon.1137, Dcor_evm.model.hic_scaffold_3_pilon.1139, Dcor_evm.model.hic_scaffold_3_pilon.1136	Hol_evm.model.scaffold01500.1, Hol_evm.model.scaffold01500.2
OG0000035	Dcor_evm.model.hic_scaffold_3_pilon.187, Dcor_evm.model.hic_scaffold_3_pilon.186	Hol_evm.model.scaffold12014.2
OG0000036	Dcor_evm.model.hic_scaffold_4_pilon.680	Hol_evm.model.scaffold08336.2
OG0000036	Dcor_evm.model.hic_scaffold_25_pilon.21	Hol_evm.model.scaffold10219.1, Hol_evm.model.scaffold13175.1, Hol_evm.model.scaffold15305.4
OG0000036	Dcor_evm.model.hic_scaffold_1_pilon.750, Dcor_evm.model.hic_scaffold_9_pilon.974	Hol_evm.model.scaffold05594.12
OG0000036	Dcor_evm.model.hic_scaffold_2_pilon.733	Hol_evm.model.scaffold02619.1
OG0000037	Dcor_evm.model.hic_scaffold_9_pilon.295, Dcor_evm.model.hic_scaffold_4_pilon.948, Dcor_evm.model.hic_scaffold_4_pilon.1201, Dcor_evm.model.hic_scaffold_5_pilon.1093, Dcor_evm.model.hic_scaffold_2_pilon.116, Dcor_evm.model.hic_scaffold_2_pilon.115, Dcor_evm.model.hic_scaffold_2_pilon.117, Dcor_evm.model.hic_scaffold_2_pilon.118, Dcor_evm.model.hic_scaffold_15_pilon.45, Dcor_evm.model.hic_scaffold_7_pilon.708, Dcor_evm.model.hic_scaffold_9_pilon.981, Dcor_evm.model.hic_scaffold_9_pilon.982, Dcor_evm.model.hic_scaffold_9_pilon.983, Dcor_evm.model.hic_scaffold_9_pilon.984, Dcor_evm.model.hic_scaffold_9_pilon.987, Dcor_evm.model.hic_scaffold_13_pilon.93, Dcor_evm.model.hic_scaffold_9_pilon.988, Dcor_evm.model.hic_scaffold_9_pilon.989, Dcor_evm.model.hic_scaffold_9_pilon.985	Hol_evm.model.scaffold15809.3
OG0000037	Dcor_evm.model.hic_scaffold_2_pilon.114	Hol_evm.model.scaffold02676.7, Hol_evm.model.scaffold03040.4, Hol_evm.model.scaffold03040.3
OG0000037	Dcor_evm.model.hic_scaffold_6_pilon.952, Dcor_evm.model.hic_scaffold_6_pilon.953	Hol_evm.model.scaffold01321.2
OG0000037	Dcor_evm.model.hic_scaffold_5_pilon.220	Hol_evm.model.scaffold04510.4
OG0000037	Dcor_evm.model.hic_scaffold_2_pilon.400	Hol_evm.model.scaffold03040.5
OG0000037	Dcor_evm.model.hic_scaffold_2_pilon.135, Dcor_evm.model.scaffold501_size3251.1	Hol_evm.model.scaffold16472.1
OG0000038	Dcor_evm.model.hic_scaffold_21_pilon.51, Dcor_evm.model.hic_scaffold_44_pilon.45, Dcor_evm.model.hic_scaffold_16_pilon.157, Dcor_evm.model.hic_scaffold_6_pilon.672, Dcor_evm.model.hic_scaffold_16_pilon.156, Dcor_evm.model.hic_scaffold_6_pilon.673, Dcor_evm.model.hic_scaffold_16_pilon.159, Dcor_evm.model.hic_scaffold_6_pilon.670, Dcor_evm.model.hic_scaffold_16_pilon.158, Dcor_evm.model.hic_scaffold_6_pilon.671, Dcor_evm.model.hic_scaffold_16_pilon.154	Hol_evm.model.scaffold08219.2, Hol_evm.model.scaffold08372.1, Hol_evm.model.scaffold05310.1, Hol_evm.model.scaffold05743.8, Hol_evm.model.scaffold13959.8
OG0000038	Dcor_evm.model.hic_scaffold_6_pilon.1235, Dcor_evm.model.hic_scaffold_6_pilon.1236, Dcor_evm.model.hic_scaffold_6_pilon.1237	Hol_evm.model.scaffold00676.1
OG0000038	Dcor_evm.model.hic_scaffold_6_pilon.1238	Hol_evm.model.scaffold00676.2
OG0000039	Dcor_evm.model.hic_scaffold_2_pilon.660	Hol_evm.model.scaffold15319.1, Hol_evm.model.scaffold00988.1, Hol_evm.model.scaffold13577.1
OG0000040	Dcor_evm.model.hic_scaffold_10_pilon.1114, Dcor_evm.model.hic_scaffold_31_pilon.30, Dcor_evm.model.hic_scaffold_5_pilon.359, Dcor_evm.model.hic_scaffold_12_pilon.55, Dcor_evm.model.hic_scaffold_63_pilon.8	Hol_evm.model.scaffold01704.2
OG0000040	Dcor_evm.model.hic_scaffold_31_pilon.2	Hol_evm.model.scaffold17185.1, Hol_evm.model.scaffold00336.2, Hol_evm.model.scaffold07489.1
OG0000040	Dcor_evm.model.hic_scaffold_1_pilon.1131	Hol_evm.model.scaffold07201.1, Hol_evm.model.scaffold07436.1, Hol_evm.model.scaffold15201.1
OG0000040	Dcor_evm.model.contig_119_pilon.2	Hol_evm.model.scaffold07882.3
OG0000041	Dcor_evm.model.hic_scaffold_1_pilon.1079, Dcor_evm.model.WTDall_ctg240.1	Hol_evm.model.scaffold00005.1
OG0000042	Dcor_evm.model.hic_scaffold_7_pilon.1518	Hol_evm.model.scaffold05324.17
OG0000042	Dcor_evm.model.hic_scaffold_7_pilon.908	Hol_evm.model.scaffold13555.2
OG0000042	Dcor_evm.model.hic_scaffold_52_pilon.5	Hol_evm.model.scaffold05600.3
OG0000042	Dcor_evm.model.hic_scaffold_16_pilon.133, Dcor_evm.model.hic_scaffold_6_pilon.695, Dcor_evm.model.hic_scaffold_16_pilon.51, Dcor_evm.model.hic_scaffold_6_pilon.776	Hol_evm.model.scaffold18606.9
OG0000042	Dcor_evm.model.hic_scaffold_16_pilon.135, Dcor_evm.model.hic_scaffold_6_pilon.693, Dcor_evm.model.hic_scaffold_16_pilon.134, Dcor_evm.model.hic_scaffold_6_pilon.694	Hol_evm.model.scaffold18606.8
